source	chromosome	n_cells	seg_id	bin_start	bin_end	seg_length	Mb_start	Mb_end	mean_rate	median_level	median_level_left	median_level_right	delta_left_median	delta_right_median	log2fc_left	log2fc_right	srd_left	srd_right	srd_phi_left	srd_phi_right	pooled_phi	proposal	proposed_boundary_bin
cluster3	chr1	556	8	1336	1380	44	158900001.0	163300001.1	8.3665	7.0253	4.1473	3.9064	0.7604	0.8467	0.7619	1.0033	4.9725	7.3515	3.1541	4.6632	2.4854	merge_left	1336.0
cluster3	chr1	556	9	1380	1414	34	163400001.0	166700001.1	4.1737	3.9064	7.0253	7.4744	-0.8467	-0.9361	-1.0033	-1.0875	-7.3515	-10.0684	-4.6632	-6.3865	2.4854	keep_focal	
cluster4	chr1	182	2	456	493	37	46800001.0	50400001.1	2.4067	2.1974	3.9571	3.2208	-0.8487	-0.5517	-0.773	-0.6829	-5.3477	-4.7399	-3.7307	-3.3067	2.0547	keep_focal	
cluster4	chr1	182	4	1183	1245	62	120000001.0	149700001.1	3.5769	2.1596	3.2208	9.5902	-0.5767	-2.1508	-0.1112	-1.521	-1.1146	-14.8142	-0.7776	-10.3348	2.0547	merge_left	1183.0
cluster4	chr1	182	5	1245	1315	70	149800001.0	156700001.1	10.2653	9.5902	2.1596	5.7996	2.1508	0.7256	1.521	0.5704	14.8142	6.654	10.3348	4.6421	2.0547	keep_focal	
cluster4	chr1	182	6	1315	1380	65	156800001.0	163300001.1	6.913	5.7996	9.5902	3.2531	-0.7256	0.8341	-0.5704	0.6142	-6.654	4.7041	-4.6421	3.2817	2.0547	merge_right	1380.0
cluster4	chr1	182	7	1380	1414	34	163400001.0	166700001.1	4.5161	3.2531	5.7996	7.4225	-0.8341	-1.1901	-0.6142	-0.9087	-4.7041	-8.5458	-3.2817	-5.9618	2.0547	merge_left	1380.0
all	chr2	3460	1	81	125	44	8600001.0	13000001.1	4.8788	4.3853	1.7373	3.2914	1.3358	0.414	1.2446	0.3812	8.3804	3.3274	7.6977	3.0563	1.1852	merge_right	125.0
all	chr2	3460	3	324	349	25	33600001.0	36200001.1	1.7575	1.5971	3.2914	4.9339	-1.0433	-1.6273	-1.0917	-1.5822	-5.4691	-7.1337	-5.0236	-6.5526	1.1852	keep_focal	
all	chr2	3460	4	349	382	33	36300001.0	39500001.1	5.2623	4.9339	1.5971	3.7463	1.6273	0.3972	1.5822	0.3605	7.1337	3.0148	6.5526	2.7692	1.1852	merge_right	382.0
all	chr2	3460	6	744	765	21	76000001.0	80600001.1	1.0941	1.1591	3.7463	3.2329	-1.6925	-1.4798	-1.9055	-1.7576	-7.9334	-6.9584	-7.2871	-6.3915	1.1852	keep_focal	
cluster0	chr2	1286	1	81	125	44	8600001.0	13000001.1	4.9411	4.3672	1.7531	3.3496	1.3168	0.3827	1.2403	0.3874	8.4104	3.3994	7.5803	3.0639	1.231	merge_right	125.0
cluster0	chr2	1286	3	324	349	25	33600001.0	36200001.1	1.7263	1.4613	3.3496	4.924	-1.1967	-1.7526	-1.1298	-1.6282	-5.639	-7.3326	-5.0825	-6.6089	1.231	keep_focal	
cluster0	chr2	1286	4	349	382	33	36300001.0	39500001.1	5.3366	4.924	1.4613	3.8397	1.7526	0.3588	1.6282	0.3658	7.3326	3.0787	6.6089	2.7748	1.231	merge_right	382.0
cluster0	chr2	1286	6	744	766	22	76000001.0	80700001.1	1.1017	1.1252	3.8397	3.2475	-1.7709	-1.5292	-1.9105	-1.7615	-8.1677	-7.1483	-7.3616	-6.4428	1.231	keep_focal	
cluster0	chr2	1286	8	910	956	46	102800001.0	107400001.1	1.9539	1.5218	3.2475	2.5164	-1.0935	-0.7255	-0.9348	-0.6172	-6.1277	-4.0812	-5.523	-3.6784	1.231	keep_focal	
cluster1	chr2	833	1	81	141	60	8600001.0	14700001.1	4.5999	4.0779	1.6207	3.0758	1.3312	0.4069	1.2227	0.3119	8.726	2.9806	7.5358	2.574	1.3408	merge_right	141.0
cluster1	chr2	833	3	324	349	25	33600001.0	36200001.1	1.6379	1.4334	3.0758	4.8493	-1.1016	-1.7584	-1.1778	-1.6816	-5.7423	-7.443	-4.959	-6.4278	1.3408	keep_focal	
cluster1	chr2	833	4	349	382	33	36300001.0	39500001.1	5.254	4.8493	1.4334	3.61	1.7584	0.4258	1.6816	0.3542	7.443	2.9621	6.4278	2.5581	1.3408	merge_right	382.0
cluster1	chr2	833	6	744	765	21	76000001.0	80600001.1	1.0657	1.0588	3.61	3.2413	-1.7695	-1.6141	-1.9474	-1.8034	-8.051	-7.0945	-6.9529	-6.1268	1.3408	keep_focal	
cluster1	chr2	833	9	1143	1234	91	133000001.0	142000001.1	2.988	2.5513	2.0604	3.4943	0.3083	-0.4538	0.1254	-0.4883	1.1934	-5.6709	1.0306	-4.8974	1.3408	merge_left	1143.0
cluster2	chr2	603	2	744	765	21	76000001.0	80600001.1	1.3186	1.2719	3.7878	3.4853	-1.5743	-1.4542	-1.5854	-1.5079	-6.9861	-6.3189	-7.7083	-6.9721	0.8214	keep_focal	
cluster3	chr2	556	1	81	125	44	8600001.0	13000001.1	4.9919	4.5034	1.3593	3.0058	1.7282	0.5833	1.4807	0.3681	9.7209	2.847	8.2202	2.4075	1.3984	merge_right	125.0
cluster3	chr2	556	2	125	202	77	13100001.0	20800001.1	3.8676	3.0058	4.5034	0.6417	-0.5833	2.2277	-0.3681	2.4073	-2.847	8.2784	-2.4075	7.0004	1.3984	merge_left	125.0
cluster3	chr2	556	3	202	223	21	20900001.0	23200001.1	0.7291	0.6417	3.0058	3.6287	-2.2277	-2.4994	-2.4073	-2.4989	-8.2784	-9.3343	-7.0004	-7.8933	1.3984	keep_focal	
cluster3	chr2	556	5	744	766	22	76000001.0	80700001.1	0.9931	0.971	3.6287	2.8759	-1.9019	-1.5664	-2.0531	-1.7448	-8.5624	-6.6504	-7.2406	-5.6237	1.3984	keep_focal	
cluster3	chr2	556	7	889	910	21	100700001.0	102700001.1	5.2741	4.8791	2.8759	1.3944	0.7626	1.807	0.6642	1.508	4.1064	7.4286	3.4725	6.2818	1.3984	keep_focal	
cluster3	chr2	556	8	910	962	52	102800001.0	108000001.1	1.8544	1.3944	4.8791	2.2452	-1.807	-0.6872	-1.508	-0.6662	-7.4286	-4.5258	-6.2818	-3.8271	1.3984	keep_focal	
cluster4	chr2	182	1	83	125	42	8800001.0	13000001.1	4.9029	4.5445	1.9847	3.312	1.1952	0.4564	1.139	0.4004	7.7471	3.6983	7.1485	3.4125	1.1745	keep_focal	
all	chr5	3460	1	50	74	24	5700001.0	8300001.1	1.1868	0.6585	1.4864	2.6174	-1.1746	-1.9908	-0.8292	-1.4008	-2.8649	-5.4137	-2.3756	-4.4892	1.4543	merge_left	50.0
all	chr5	3460	2	74	134	60	8400001.0	14300001.1	3.1338	2.6174	0.6585	0.6751	1.9908	1.955	1.4008	0.8553	5.4137	3.4245	4.4892	2.8397	1.4543	merge_right	134.0
all	chr5	3460	3	134	154	20	14400001.0	16300001.1	1.7323	0.6751	2.6174	3.4075	-1.955	-2.3356	-0.8553	-1.1989	-3.4245	-5.6242	-2.8397	-4.6637	1.4543	merge_left	134.0
all	chr5	3460	5	1037	1089	52	113600001.0	118800001.1	2.8321	2.2507	3.4075	5.9494	-0.5983	-1.4024	-0.4897	-1.2068	-4.2548	-11.1124	-3.5282	-9.2146	1.4543	keep_focal	
all	chr5	3460	7	1414	1444	30	151900001.0	154900001.1	4.2624	3.8574	5.9494	1.7089	-0.6251	1.1746	-0.617	0.9676	-5.0085	4.0134	-4.1532	3.328	1.4543	ambiguous_keep	
all	chr5	3460	8	1444	1464	20	155000001.0	157000001.1	2.1796	1.7089	3.8574	4.9089	-1.1746	-1.5223	-0.9676	-1.3966	-4.0134	-6.4666	-3.328	-5.3623	1.4543	keep_focal	
all	chr5	3460	9	1464	1503	39	157100001.0	160900001.1	5.7385	4.9089	1.7089	1.1568	1.5223	2.0853	1.3966	2.1482	6.4666	8.9689	5.3623	7.4372	1.4543	keep_focal	
all	chr5	3460	10	1503	1525	22	161000001.0	163200001.1	1.2946	1.1568	4.9089	4.5361	-2.0853	-1.9713	-2.1482	-2.0574	-8.9689	-9.3109	-7.4372	-7.7209	1.4543	keep_focal	
cluster0	chr5	1286	1	50	74	24	5700001.0	8300001.1	1.1689	0.5865	1.4799	2.653	-1.3354	-2.1775	-0.8466	-1.4248	-2.9108	-5.4849	-2.304	-4.3415	1.5961	merge_left	50.0
cluster0	chr5	1286	2	74	134	60	8400001.0	14300001.1	3.1382	2.653	0.5865	0.6241	2.1775	2.0877	1.4248	0.8811	5.4849	3.5123	4.3415	2.7801	1.5961	merge_right	134.0
cluster0	chr5	1286	3	134	154	20	14400001.0	16300001.1	1.7039	0.6241	2.653	3.35	-2.0877	-2.4242	-0.8811	-1.2093	-3.5123	-5.6324	-2.7801	-4.4583	1.5961	merge_left	134.0
cluster0	chr5	1286	5	1009	1037	28	110700001.0	113500001.1	5.2838	5.1436	3.35	2.2589	0.6186	1.1872	0.4235	0.9098	3.3437	5.3676	2.6467	4.2487	1.5961	merge_left	1009.0
cluster0	chr5	1286	6	1037	1089	52	113600001.0	118800001.1	2.8123	2.2589	5.1436	5.9179	-1.1872	-1.3895	-0.9098	-1.2213	-5.3676	-11.228	-4.2487	-8.8874	1.5961	keep_focal	
cluster1	chr5	833	1	50	74	24	5700001.0	8300001.1	1.0974	0.4657	1.306	2.5665	-1.4876	-2.4623	-0.9222	-1.5083	-3.1086	-5.6999	-2.43	-4.4556	1.6365	merge_left	50.0
cluster1	chr5	833	2	74	134	60	8400001.0	14300001.1	3.122	2.5665	0.4657	0.5463	2.4623	2.232	1.5083	0.9344	5.6999	3.6762	4.4556	2.8737	1.6365	merge_right	134.0
cluster1	chr5	833	3	134	154	20	14400001.0	16300001.1	1.6336	0.5463	2.5665	3.4183	-2.232	-2.6455	-0.9344	-1.2876	-3.6762	-5.936	-2.8737	-4.6401	1.6365	merge_left	134.0
cluster1	chr5	833	5	1037	1089	52	113600001.0	118800001.1	2.8212	2.1907	3.4183	5.8151	-0.6419	-1.4084	-0.4994	-1.2169	-4.3358	-11.2	-3.3893	-8.755	1.6365	keep_focal	
cluster1	chr5	833	7	1414	1444	30	151900001.0	154900001.1	4.2103	3.6861	5.8151	1.5761	-0.6577	1.2257	-0.6393	1.0053	-5.173	4.1157	-4.0437	3.2172	1.6365	merge_right	1444.0
cluster1	chr5	833	8	1444	1464	20	155000001.0	157000001.1	2.0974	1.5761	3.6861	4.6883	-1.2257	-1.5727	-1.0053	-1.4399	-4.1157	-6.5854	-3.2172	-5.1477	1.6365	merge_left	1444.0
cluster1	chr5	833	9	1464	1503	39	157100001.0	160900001.1	5.6902	4.6883	1.5761	1.0114	1.5727	2.2127	1.4399	2.2863	6.5854	9.2719	5.1477	7.2478	1.6365	keep_focal	
cluster1	chr5	833	10	1503	1525	22	161000001.0	163200001.1	1.1665	1.0114	4.6883	4.539	-2.2127	-2.166	-2.2863	-2.2088	-9.2719	-9.7129	-7.2478	-7.5925	1.6365	keep_focal	
cluster2	chr5	603	1	50	74	24	5700001.0	8300001.1	1.3488	0.8683	1.8486	2.933	-1.0901	-1.756	-0.8068	-1.3159	-2.9614	-5.3508	-2.9531	-5.3358	1.0056	merge_left	50.0
cluster2	chr5	603	2	74	134	60	8400001.0	14300001.1	3.3581	2.933	0.8683	0.8841	1.756	1.73	1.3159	0.8036	5.3508	3.365	5.3358	3.3556	1.0056	keep_focal	
cluster2	chr5	603	3	134	154	20	14400001.0	16300001.1	1.9239	0.8841	2.933	3.5032	-1.73	-1.9863	-0.8036	-1.027	-3.365	-4.9615	-3.3556	-4.9476	1.0056	keep_focal	
cluster2	chr5	603	5	1009	1037	28	110700001.0	113500001.1	5.1742	5.3885	3.5032	2.6831	0.6212	1.006	0.4003	0.7447	3.1359	4.4775	3.1271	4.465	1.0056	merge_left	1009.0
cluster2	chr5	603	6	1037	1090	53	113600001.0	118900001.1	3.0879	2.6831	5.3885	6.0362	-1.006	-1.1697	-0.7447	-1.0606	-4.4775	-10.0721	-4.465	-10.0439	1.0056	keep_focal	
cluster2	chr5	603	8	1414	1444	30	151900001.0	154900001.1	4.6095	4.3243	6.0362	2.0299	-0.4812	1.0911	-0.4826	0.823	-4.0027	3.6454	-3.9915	3.6352	1.0056	ambiguous_keep	
cluster2	chr5	603	9	1444	1464	20	155000001.0	157000001.1	2.6056	2.0299	4.3243	5.5182	-1.0911	-1.4428	-0.823	-1.1818	-3.6454	-5.7824	-3.6352	-5.7663	1.0056	keep_focal	
cluster2	chr5	603	10	1464	1503	39	157100001.0	160900001.1	5.9112	5.5182	2.0299	1.2199	1.4428	2.1775	1.1818	1.9835	5.7824	8.6594	5.7663	8.6352	1.0056	keep_focal	
cluster2	chr5	603	11	1503	1525	22	161000001.0	163200001.1	1.4948	1.2199	5.5182	5.0808	-2.1775	-2.0583	-1.9835	-1.9078	-8.6594	-9.0679	-8.6352	-9.0425	1.0056	keep_focal	
cluster3	chr5	556	1	50	74	24	5700001.0	8300001.1	1.0999	0.6155	1.2879	2.2877	-1.0652	-1.894	-0.7207	-1.2539	-2.3571	-4.7003	-1.8539	-3.6968	1.6165	merge_left	50.0
cluster3	chr5	556	2	74	154	80	8400001.0	16300001.1	2.623	2.2877	0.6155	3.1205	1.894	-0.4479	1.2539	-0.3464	4.7003	-3.0761	3.6968	-2.4194	1.6165	merge_right	154.0
cluster3	chr5	556	4	345	404	59	36100001.0	41900001.1	4.7013	3.9429	3.1205	2.3744	0.3375	0.7317	0.4954	0.8209	4.6593	5.445	3.6646	4.2826	1.6165	keep_focal	
cluster3	chr5	556	5	404	451	47	42000001.0	51200001.1	2.6614	2.3744	3.9429	3.5439	-0.7317	-0.5778	-0.8209	-0.6755	-5.445	-5.4923	-4.2826	-4.3198	1.6165	keep_focal	
cluster3	chr5	556	7	1038	1090	52	113700001.0	118900001.1	2.7152	1.9459	3.5439	5.4771	-0.8649	-1.493	-0.6466	-1.2357	-5.5455	-11.118	-4.3616	-8.7444	1.6165	keep_focal	
cluster3	chr5	556	9	1382	1414	32	148700001.0	151800001.1	9.0685	8.0972	5.4771	2.9071	0.564	1.4779	0.5041	1.4274	5.3058	11.1887	4.173	8.8	1.6165	keep_focal	
cluster3	chr5	556	10	1414	1482	68	151900001.0	158800001.1	3.3716	2.9071	8.0972	5.251	-1.4779	-0.853	-1.4274	-1.0441	-11.1887	-6.5947	-8.8	-5.1868	1.6165	keep_focal	
cluster3	chr5	556	11	1482	1503	21	158900001.0	160900001.1	6.9527	5.251	2.9071	1.2035	0.853	2.1254	1.0441	2.402	6.5947	9.5457	5.1868	7.5078	1.6165	keep_focal	
cluster3	chr5	556	12	1503	1525	22	161000001.0	163200001.1	1.3155	1.2035	5.251	3.8408	-2.1254	-1.6742	-2.402	-1.7485	-9.5457	-7.4884	-7.5078	-5.8897	1.6165	keep_focal	
cluster3	chr5	556	13	1525	1610	85	163300001.0	171800001.1	4.4201	3.8408	1.2035	6.7072	1.6742	-0.8043	1.7485	-0.6967	7.4884	-4.9083	5.8897	-3.8605	1.6165	ambiguous_keep	
cluster3	chr5	556	14	1610	1632	22	171900001.0	174000001.1	7.164	6.7072	3.8408	3.1399	0.8043	1.095	0.6967	0.8241	4.9083	5.4808	3.8605	4.3107	1.6165	keep_focal	
cluster4	chr5	182	2	1037	1090	53	113600001.0	118900001.1	2.6959	1.9898	3.2919	5.6726	-0.7263	-1.5114	-0.5204	-1.235	-4.4692	-11.2327	-3.6888	-9.2714	1.4678	keep_focal	
cluster4	chr5	182	4	1414	1503	89	151900001.0	160900001.1	4.4477	3.9762	5.6726	1.1964	-0.5126	1.7327	-0.5127	1.5409	-6.735	6.9186	-5.559	5.7106	1.4678	ambiguous_keep	
cluster4	chr5	182	5	1503	1525	22	161000001.0	163200001.1	1.5285	1.1964	3.9762	4.5131	-1.7327	-1.9154	-1.5409	-1.7236	-6.9186	-8.2557	-5.7106	-6.8143	1.4678	keep_focal	
all	chr7	3460	1	79	104	25	8300001.0	10700001.1	1.451	1.339	2.9693	4.1632	-1.149	-1.6366	-1.171	-1.672	-5.0562	-8.2641	-4.6043	-7.5255	1.2059	keep_focal	
all	chr7	3460	4	509	529	20	51400001.0	53500001.1	0.893	0.7396	3.0172	2.919	-2.0284	-1.9806	-1.9235	-1.6206	-6.9892	-5.2978	-6.3646	-4.8243	1.2059	keep_focal	
all	chr7	3460	5	529	598	69	53600001.0	67300001.1	2.746	2.919	0.7396	0.3912	1.9806	2.8996	1.6206	2.8115	5.2978	8.1954	4.8243	7.4629	1.2059	keep_focal	
all	chr7	3460	6	598	624	26	67400001.0	69900001.1	0.3912	0.3912	2.919	0.5845	-2.8996	-0.5794	-2.8115	-1.585	-8.1954	-3.4343	-7.4629	-3.1274	1.2059	merge_right	624.0
all	chr7	3460	7	624	658	34	70000001.0	73300001.1	1.1736	0.5845	0.3912	2.8537	0.5794	-2.2875	1.585	-1.5484	3.4343	-6.8211	3.1274	-6.2115	1.2059	merge_left	624.0
all	chr7	3460	8	658	712	54	73400001.0	78900001.1	3.4325	2.8537	0.5845	4.6944	2.2875	-0.7181	1.5484	-0.6794	6.8211	-5.2588	6.2115	-4.7888	1.2059	ambiguous_keep	
all	chr7	3460	9	712	774	62	79000001.0	85100001.1	5.4969	4.6944	2.8537	2.6815	0.7181	0.8079	0.6794	0.7217	5.2588	4.4778	4.7888	4.0776	1.2059	keep_focal	
all	chr7	3460	10	774	802	28	85200001.0	87900001.1	3.3331	2.6815	4.6944	1.6782	-0.8079	0.6761	-0.7217	0.6031	-4.4778	2.3698	-4.0776	2.158	1.2059	merge_right	802.0
all	chr7	3460	11	802	823	21	88000001.0	90000001.1	2.1944	1.6782	2.6815	3.4313	-0.6761	-1.0318	-0.6031	-0.8468	-2.3698	-4.3458	-2.158	-3.9574	1.2059	merge_left	802.0
cluster0	chr7	1286	1	79	104	25	8300001.0	10700001.1	1.467	1.2134	2.9356	4.2291	-1.2746	-1.8013	-1.1603	-1.669	-5.0294	-8.2902	-4.4914	-7.4035	1.2539	keep_focal	
cluster0	chr7	1286	4	509	529	20	51400001.0	53500001.1	0.8515	0.7043	3.016	2.916	-2.0984	-2.0498	-1.988	-1.7089	-7.1213	-5.5294	-6.3596	-4.9379	1.2539	keep_focal	
cluster0	chr7	1286	5	529	598	69	53600001.0	67300001.1	2.7837	2.916	0.7043	0.3811	2.0498	2.9357	1.7089	2.8628	5.5294	8.454	4.9379	7.5497	1.2539	keep_focal	
cluster0	chr7	1286	6	598	625	27	67400001.0	70000001.1	0.3827	0.3811	2.916	0.635	-2.9357	-0.7364	-2.8628	-1.6423	-8.454	-3.578	-7.5497	-3.1953	1.2539	merge_right	625.0
cluster0	chr7	1286	7	625	658	33	70100001.0	73300001.1	1.1946	0.635	0.3811	2.8615	0.7364	-2.172	1.6423	-1.5056	3.578	-6.6132	3.1953	-5.9059	1.2539	merge_left	625.0
cluster0	chr7	1286	8	658	714	56	73400001.0	79100001.1	3.3919	2.8615	0.635	4.7338	2.172	-0.7262	1.5056	-0.7312	6.6132	-5.694	5.9059	-5.0849	1.2539	ambiguous_keep	
cluster0	chr7	1286	9	714	774	60	79200001.0	85100001.1	5.6305	4.7338	2.8615	2.0237	0.7262	1.226	0.7312	1.0058	5.694	7.1774	5.0849	6.4097	1.2539	keep_focal	
cluster0	chr7	1286	10	774	823	49	85200001.0	90000001.1	2.8039	2.0237	4.7338	3.4278	-1.226	-0.7603	-1.0058	-0.496	-7.1774	-4.1123	-6.4097	-3.6724	1.2539	keep_focal	
cluster0	chr7	1286	12	1369	1392	23	145700001.0	148100001.1	1.1961	1.0468	3.4278	2.2845	-1.7112	-1.1259	-1.7251	-1.1341	-7.6994	-4.3713	-6.8759	-3.9037	1.2539	keep_focal	
cluster1	chr7	833	1	79	104	25	8300001.0	10700001.1	1.3936	1.0653	3.0362	4.1924	-1.5109	-1.9765	-1.2377	-1.7435	-5.2898	-8.5336	-4.586	-7.3983	1.3305	keep_focal	
cluster1	chr7	833	4	509	529	20	51400001.0	53500001.1	0.8219	0.7359	2.9653	2.8333	-2.0106	-1.945	-2.0443	-1.7398	-7.2548	-5.5565	-6.2896	-4.8173	1.3305	keep_focal	
cluster1	chr7	833	5	529	598	69	53600001.0	67300001.1	2.7448	2.8333	0.7359	0.3166	1.945	3.1617	1.7398	3.1068	5.5565	8.5917	4.8173	7.4486	1.3305	keep_focal	
cluster1	chr7	833	6	598	624	26	67400001.0	69900001.1	0.3186	0.3166	2.8333	0.5319	-3.1617	-0.7484	-3.1068	-1.8032	-8.5917	-3.6587	-7.4486	-3.172	1.3305	merge_right	624.0
cluster1	chr7	833	7	624	658	34	70000001.0	73300001.1	1.112	0.5319	0.3166	2.8138	0.7484	-2.4033	1.8032	-1.6284	3.6587	-7.115	3.172	-6.1685	1.3305	merge_left	624.0
cluster1	chr7	833	8	658	714	56	73400001.0	79100001.1	3.438	2.8138	0.5319	4.5974	2.4033	-0.7083	1.6284	-0.6958	7.115	-5.4227	6.1685	-4.7013	1.3305	ambiguous_keep	
cluster1	chr7	833	9	714	774	60	79200001.0	85100001.1	5.5691	4.5974	2.8138	2.5367	0.7083	0.8579	0.6958	0.7182	5.4227	4.4675	4.7013	3.8731	1.3305	keep_focal	
cluster1	chr7	833	10	774	802	28	85200001.0	87900001.1	3.3851	2.5367	4.5974	1.502	-0.8579	0.7561	-0.7182	0.6906	-4.4675	2.6918	-3.8731	2.3337	1.3305	merge_right	802.0
cluster1	chr7	833	11	802	823	21	88000001.0	90000001.1	2.0974	1.502	2.5367	3.5738	-0.7561	-1.2506	-0.6906	-0.9886	-2.6918	-5.0282	-2.3337	-4.3592	1.3305	merge_left	802.0
cluster2	chr7	603	1	79	103	24	8300001.0	10600001.1	1.588	1.3557	3.0374	4.0609	-1.1638	-1.5828	-1.0418	-1.4807	-4.5412	-7.3105	-4.9605	-7.9855	0.8381	keep_focal	
cluster2	chr7	603	4	509	529	20	51400001.0	53500001.1	1.0872	0.8898	3.2244	2.8462	-1.8574	-1.6775	-1.6839	-1.3395	-6.5187	-4.6306	-7.1205	-5.0582	0.8381	keep_focal	
cluster2	chr7	603	5	529	598	69	53600001.0	67300001.1	2.7512	2.8462	0.8898	0.5402	1.6775	2.3976	1.3395	2.3564	4.6306	7.5819	5.0582	8.2819	0.8381	keep_focal	
cluster2	chr7	603	6	598	625	27	67400001.0	70000001.1	0.5372	0.5402	2.8462	0.6618	-2.3976	-0.293	-2.3564	-1.3216	-7.5819	-3.2121	-8.2819	-3.5086	0.8381	keep_focal	
cluster2	chr7	603	7	625	657	32	70100001.0	73200001.1	1.3429	0.6618	0.5402	2.8436	0.293	-2.1032	1.3216	-1.3078	3.2121	-5.8194	3.5086	-6.3566	0.8381	ambiguous_keep	
cluster2	chr7	603	8	657	712	55	73300001.0	78900001.1	3.3244	2.8436	0.6618	4.6456	2.1032	-0.7081	1.3078	-0.6181	5.8194	-4.6843	6.3566	-5.1168	0.8381	ambiguous_keep	
cluster2	chr7	603	9	712	774	62	79000001.0	85100001.1	5.1025	4.6456	2.8436	2.4475	0.7081	0.9246	0.6181	0.7758	4.6843	5.5273	5.1168	6.0376	0.8381	keep_focal	
