source	chromosome	seg_id	n_orig_constituents	orig_seg_ids	bin_start	bin_end	seg_length	Mb_start	Mb_end	median_obs	merged	constituent_log2_range
cluster3	chr2	2	1	2	125	202	77	13.1	20.9	3.00582	False	0.0
cluster3	chr2	3	1	3	202	223	21	20.9	23.3	0.64172	False	0.0
cluster3	chr2	4	1	4	223	744	521	23.3	76.0	3.62872	False	0.0
cluster3	chr2	5	1	5	744	766	22	76.0	80.8	0.97102	False	0.0
cluster3	chr2	6	1	6	766	889	123	80.8	100.7	2.87587	False	0.0
cluster3	chr2	7	1	7	889	910	21	100.7	102.8	4.87905	False	0.0
cluster3	chr2	8	1	8	910	962	52	102.8	108.1	1.3944	False	0.0
cluster3	chr2	9	1	9	962	1215	253	108.1	140.2	2.24517	False	0.0
cluster3	chr2	10	1	10	1215	2163	948	140.2	235.5	3.52102	False	0.0
cluster3	chr2	11	1	11	2163	2225	62	235.5	242.0	2.99521	False	0.0
cluster4	chr2	0	1	0	0	83	83	0.0	8.8	1.98474	False	0.0
cluster4	chr2	1	1	1	83	125	42	8.8	13.1	4.54452	False	0.0
cluster4	chr2	2	1	2	125	905	780	13.1	102.3	3.31202	False	0.0
cluster4	chr2	3	1	3	905	1232	327	102.3	141.9	2.30942	False	0.0
cluster4	chr2	4	1	4	1232	2166	934	141.9	235.8	3.45901	False	0.0
cluster4	chr2	5	1	5	2166	2225	59	235.8	242.0	3.0724	False	0.0
cluster0	chr5	0	1	0	0	50	50	0.1	5.7	1.47994	False	0.0
cluster0	chr5	1	1	1	50	74	24	5.7	8.4	0.58646	False	0.0
cluster0	chr5	2	1	2	74	134	60	8.4	14.4	2.65297	False	0.0
cluster0	chr5	3	1	3	134	154	20	14.4	16.4	0.62414	False	0.0
cluster0	chr5	4	1	4	154	1009	855	16.4	110.7	3.34998	False	0.0
cluster0	chr5	5	1	5	1009	1037	28	110.7	113.6	5.14362	False	0.0
cluster0	chr5	6	1	6	1037	1089	52	113.6	118.9	2.25889	False	0.0
cluster0	chr5	7	1	7	1089	1413	324	118.9	151.8	5.91789	False	0.0
cluster0	chr5	8	1	8	1413	1695	282	151.8	181.1	4.04164	False	0.0
cluster1	chr5	0	1	0	0	50	50	0.1	5.7	1.30598	False	0.0
cluster1	chr5	1	1	1	50	74	24	5.7	8.4	0.46572	False	0.0
cluster1	chr5	2	1	2	74	134	60	8.4	14.4	2.56649	False	0.0
cluster1	chr5	3	1	3	134	154	20	14.4	16.4	0.54629	False	0.0
cluster1	chr5	4	1	4	154	1037	883	16.4	113.6	3.41828	False	0.0
cluster1	chr5	5	1	5	1037	1089	52	113.6	118.9	2.19073	False	0.0
cluster1	chr5	6	1	6	1089	1414	325	118.9	151.9	5.8151	False	0.0
cluster1	chr5	7	1	7	1414	1444	30	151.9	155.0	3.68607	False	0.0
cluster1	chr5	8	1	8	1444	1464	20	155.0	157.1	1.57609	False	0.0
cluster1	chr5	9	1	9	1464	1503	39	157.1	161.0	4.68831	False	0.0
cluster1	chr5	10	1	10	1503	1525	22	161.0	163.3	1.0114	False	0.0
cluster1	chr5	11	1	11	1525	1632	107	163.3	174.1	4.53903	False	0.0
cluster1	chr5	12	1	12	1632	1695	63	174.1	181.1	3.62417	False	0.0
cluster2	chr5	0	1	0	0	50	50	0.1	5.7	1.84859	False	0.0
cluster2	chr5	1	1	1	50	74	24	5.7	8.4	0.86835	False	0.0
cluster2	chr5	2	1	2	74	134	60	8.4	14.4	2.93298	False	0.0
cluster2	chr5	3	1	3	134	154	20	14.4	16.4	0.88414	False	0.0
cluster2	chr5	4	1	4	154	1009	855	16.4	110.7	3.50316	False	0.0
cluster2	chr5	5	1	5	1009	1037	28	110.7	113.6	5.38845	False	0.0
cluster2	chr5	6	1	6	1037	1090	53	113.6	119.0	2.6831	False	0.0
cluster2	chr5	7	1	7	1090	1414	324	119.0	151.9	6.03619	False	0.0
cluster2	chr5	8	1	8	1414	1444	30	151.9	155.0	4.32431	False	0.0
cluster2	chr5	9	1	9	1444	1464	20	155.0	157.1	2.0299	False	0.0
cluster2	chr5	10	1	10	1464	1503	39	157.1	161.0	5.51821	False	0.0
cluster2	chr5	11	1	11	1503	1525	22	161.0	163.3	1.21988	False	0.0
cluster2	chr5	12	1	12	1525	1632	107	163.3	174.1	5.08076	False	0.0
cluster2	chr5	13	1	13	1632	1695	63	174.1	181.1	4.14029	False	0.0
cluster3	chr5	0	1	0	0	50	50	0.1	5.7	1.28794	False	0.0
cluster3	chr5	1	1	1	50	74	24	5.7	8.4	0.61553	False	0.0
cluster3	chr5	2	1	2	74	154	80	8.4	16.4	2.28771	False	0.0
cluster3	chr5	3	1	3	154	345	191	16.4	36.1	3.1205	False	0.0
cluster3	chr5	4	1	4	345	404	59	36.1	42.0	3.94292	False	0.0
cluster3	chr5	5	1	5	404	451	47	42.0	51.3	2.37438	False	0.0
cluster3	chr5	6	1	6	451	1038	587	51.3	113.7	3.5439	False	0.0
cluster3	chr5	7	1	7	1038	1090	52	113.7	119.0	1.94587	False	0.0
cluster3	chr5	8	1	8	1090	1382	292	119.0	148.7	5.47707	False	0.0
cluster3	chr5	9	1	9	1382	1414	32	148.7	151.9	8.09723	False	0.0
cluster3	chr5	10	1	10	1414	1482	68	151.9	158.9	2.90706	False	0.0
cluster3	chr5	11	1	11	1482	1503	21	158.9	161.0	5.25097	False	0.0
cluster3	chr5	12	1	12	1503	1525	22	161.0	163.3	1.20347	False	0.0
cluster3	chr5	13	1	13	1525	1610	85	163.3	171.9	3.84077	False	0.0
cluster3	chr5	14	1	14	1610	1632	22	171.9	174.1	6.70717	False	0.0
cluster3	chr5	15	1	15	1632	1695	63	174.1	181.1	3.13985	False	0.0
cluster4	chr5	0	1	0	0	154	154	0.1	16.4	1.91018	False	0.0
cluster4	chr5	1	1	1	154	1037	883	16.4	113.6	3.29192	False	0.0
cluster4	chr5	2	1	2	1037	1090	53	113.6	119.0	1.98976	False	0.0
cluster4	chr5	3	1	3	1090	1414	324	119.0	151.9	5.67258	False	0.0
cluster4	chr5	4	1	4	1414	1503	89	151.9	161.0	3.97624	False	0.0
cluster4	chr5	5	1	5	1503	1525	22	161.0	163.3	1.19639	False	0.0
cluster4	chr5	6	1	6	1525	1695	170	163.3	181.1	4.51308	False	0.0
cluster0	chr7	0	1	0	0	79	79	0.1	8.3	2.93565	False	0.0
cluster0	chr7	1	1	1	79	104	25	8.3	10.8	1.21341	False	0.0
cluster0	chr7	2	1	2	104	302	198	10.8	30.6	4.22914	False	0.0
cluster0	chr7	3	1	3	302	509	207	30.6	51.4	3.01605	False	0.0
cluster0	chr7	4	1	4	509	529	20	51.4	53.6	0.70429	False	0.0
cluster0	chr7	5	1	5	529	598	69	53.6	67.4	2.91604	False	0.0
cluster0	chr7	6	1	6	598	625	27	67.4	70.1	0.38113	False	0.0
cluster0	chr7	7	1	7	625	658	33	70.1	73.4	0.63496	False	0.0
cluster0	chr7	8	1	8	658	714	56	73.4	79.2	2.86155	False	0.0
cluster0	chr7	9	1	9	714	774	60	79.2	85.2	4.73378	False	0.0
cluster0	chr7	10	1	10	774	823	49	85.2	90.1	2.02374	False	0.0
cluster0	chr7	11	1	11	823	1369	546	90.1	145.7	3.42782	False	0.0
cluster0	chr7	12	1	12	1369	1392	23	145.7	148.2	1.04685	False	0.0
cluster0	chr7	13	1	13	1392	1495	103	148.2	159.3	2.28454	False	0.0
cluster1	chr7	0	1	0	0	79	79	0.1	8.3	3.03618	False	0.0
cluster1	chr7	1	1	1	79	104	25	8.3	10.8	1.06534	False	0.0
cluster1	chr7	2	1	2	104	302	198	10.8	30.6	4.19244	False	0.0
cluster1	chr7	3	1	3	302	509	207	30.6	51.4	2.96527	False	0.0
cluster1	chr7	4	1	4	509	529	20	51.4	53.6	0.73587	False	0.0
cluster1	chr7	5	1	5	529	598	69	53.6	67.4	2.83327	False	0.0
cluster1	chr7	6	1	6	598	624	26	67.4	70.0	0.31661	False	0.0
cluster1	chr7	7	1	7	624	658	34	70.0	73.4	0.53189	False	0.0
cluster1	chr7	8	1	8	658	714	56	73.4	79.2	2.8138	False	0.0
cluster1	chr7	9	1	9	714	774	60	79.2	85.2	4.59741	False	0.0
cluster1	chr7	10	1	10	774	802	28	85.2	88.0	2.53669	False	0.0
cluster1	chr7	11	1	11	802	823	21	88.0	90.1	1.50195	False	0.0
cluster1	chr7	12	1	12	823	1232	409	90.1	131.5	3.5738	False	0.0
cluster1	chr7	13	1	13	1232	1369	137	131.5	145.7	2.8979	False	0.0
cluster1	chr7	14	1	14	1369	1495	126	145.7	159.3	1.7558	False	0.0
cluster2	chr7	0	1	0	0	79	79	0.1	8.3	3.03737	False	0.0
cluster2	chr7	1	1	1	79	103	24	8.3	10.7	1.35569	False	0.0
cluster2	chr7	2	1	2	103	302	199	10.7	30.6	4.06086	False	0.0
cluster2	chr7	3	1	3	302	509	207	30.6	51.4	3.2244	False	0.0
cluster2	chr7	4	1	4	509	529	20	51.4	53.6	0.88982	False	0.0
cluster2	chr7	5	1	5	529	598	69	53.6	67.4	2.84622	False	0.0
cluster2	chr7	6	1	6	598	625	27	67.4	70.1	0.54017	False	0.0
cluster2	chr7	7	1	7	625	657	32	70.1	73.3	0.66181	False	0.0
cluster2	chr7	8	1	8	657	712	55	73.3	79.0	2.84362	False	0.0
cluster2	chr7	9	1	9	712	774	62	79.0	85.2	4.64558	False	0.0
cluster2	chr7	10	1	10	774	823	49	85.2	90.1	2.44749	False	0.0
cluster2	chr7	11	1	11	823	1366	543	90.1	145.4	3.58404	False	0.0
cluster2	chr7	12	1	12	1366	1495	129	145.4	159.3	2.16432	False	0.0
cluster3	chr7	0	1	0	0	79	79	0.1	8.3	2.80535	False	0.0
cluster3	chr7	1	1	1	79	104	25	8.3	10.8	1.28082	False	0.0
cluster3	chr7	2	1	2	104	302	198	10.8	30.6	4.18443	False	0.0
cluster3	chr7	3	1	3	302	391	89	30.6	39.5	2.28418	False	0.0
cluster3	chr7	4	1	4	391	509	118	39.5	51.4	3.25581	False	0.0
cluster3	chr7	5	1	5	509	529	20	51.4	53.6	0.68872	False	0.0
cluster3	chr7	6	1	6	529	598	69	53.6	67.4	2.56817	False	0.0
cluster3	chr7	7	1	7	598	624	26	67.4	70.0	0.36902	False	0.0
cluster3	chr7	8	1	8	624	658	34	70.0	73.4	0.56805	False	0.0
cluster3	chr7	9	1	9	658	712	54	73.4	79.0	3.06252	False	0.0
cluster3	chr7	10	1	10	712	774	62	79.0	85.2	4.94678	False	0.0
cluster3	chr7	11	1	11	774	802	28	85.2	88.0	2.88044	False	0.0
cluster3	chr7	12	1	12	802	823	21	88.0	90.1	1.71208	False	0.0
cluster3	chr7	13	1	13	823	1209	386	90.1	129.2	3.50044	False	0.0
cluster3	chr7	14	1	14	1209	1232	23	129.2	131.5	4.93233	False	0.0
cluster3	chr7	15	1	15	1232	1366	134	131.5	145.4	2.84983	False	0.0
cluster3	chr7	16	1	16	1366	1495	129	145.4	159.3	1.70334	False	0.0
cluster4	chr7	0	1	0	0	79	79	0.1	8.3	2.85024	False	0.0
cluster4	chr7	1	1	1	79	104	25	8.3	10.8	0.91911	False	0.0
cluster4	chr7	2	1	2	104	302	198	10.8	30.6	3.97563	False	0.0
cluster4	chr7	3	1	3	302	509	207	30.6	51.4	2.83752	False	0.0
cluster4	chr7	4	1	4	509	529	20	51.4	53.6	0.66282	False	0.0
cluster4	chr7	5	1	5	529	598	69	53.6	67.4	2.61197	False	0.0
cluster4	chr7	6	1	6	598	624	26	67.4	70.0	0.31354	False	0.0
cluster4	chr7	7	1	7	624	658	34	70.0	73.4	0.97613	False	0.0
cluster4	chr7	8	1	8	658	712	54	73.4	79.0	2.66361	False	0.0
cluster4	chr7	9	1	9	712	774	62	79.0	85.2	4.51077	False	0.0
cluster4	chr7	10	1	10	774	823	49	85.2	90.1	1.96662	False	0.0
cluster4	chr7	11	1	11	823	1233	410	90.1	131.6	3.44294	False	0.0
cluster4	chr7	12	1	12	1233	1366	133	131.6	145.4	3.04745	False	0.0
cluster4	chr7	13	1	13	1366	1392	26	145.4	148.2	0.90412	False	0.0
cluster4	chr7	14	1	14	1392	1495	103	148.2	159.3	2.37252	False	0.0
cluster0	chr8	0	1	0	0	50	50	0.2	6.5	0.72001	False	0.0
cluster0	chr8	1	1	1	50	875	825	6.5	97.5	3.06772	False	0.0
cluster0	chr8	2	1	2	875	934	59	97.5	103.5	4.11951	False	0.0
cluster0	chr8	3	1	3	934	1048	114	103.5	115.0	3.06041	False	0.0
cluster0	chr8	4	1	4	1048	1239	191	115.0	134.1	5.50277	False	0.0
cluster0	chr8	5	1	5	1239	1285	46	134.1	138.7	0.88875	False	0.0
cluster0	chr8	6	1	6	1285	1345	60	138.7	145.1	4.34847	False	0.0
cluster1	chr8	0	1	0	0	50	50	0.2	6.5	0.63943	False	0.0
cluster1	chr8	1	1	1	50	875	825	6.5	97.5	2.99358	False	0.0
cluster1	chr8	2	1	2	875	934	59	97.5	103.5	4.05227	False	0.0
cluster1	chr8	3	1	3	934	1048	114	103.5	115.0	2.8429	False	0.0
cluster1	chr8	4	1	4	1048	1239	191	115.0	134.1	5.29764	False	0.0
cluster1	chr8	5	1	5	1239	1285	46	134.1	138.7	0.75661	False	0.0
cluster1	chr8	6	1	6	1285	1345	60	138.7	145.1	4.27297	False	0.0
cluster2	chr8	0	1	0	0	50	50	0.2	6.5	1.04693	False	0.0
cluster2	chr8	1	1	1	50	875	825	6.5	97.5	3.2927	False	0.0
cluster2	chr8	2	1	2	875	995	120	97.5	109.7	3.81568	False	0.0
cluster2	chr8	3	1	3	995	1048	53	109.7	115.0	3.08827	False	0.0
cluster2	chr8	4	1	4	1048	1239	191	115.0	134.1	5.50551	False	0.0
cluster2	chr8	5	1	5	1239	1259	20	134.1	136.1	2.83112	False	0.0
cluster2	chr8	6	1	6	1259	1285	26	136.1	138.7	0.95704	False	0.0
cluster2	chr8	7	1	7	1285	1345	60	138.7	145.1	5.13506	False	0.0
cluster3	chr8	0	1	0	0	50	50	0.2	6.5	0.72261	False	0.0
cluster3	chr8	1	1	1	50	876	826	6.5	97.6	3.06734	False	0.0
cluster3	chr8	2	1	2	876	916	40	97.6	101.7	5.19465	False	0.0
cluster3	chr8	3	1	3	916	1052	136	101.7	115.4	3.41271	False	0.0
cluster3	chr8	4	1	4	1052	1239	187	115.4	134.1	5.38726	False	0.0
cluster3	chr8	5	1	5	1239	1285	46	134.1	138.7	0.89098	False	0.0
cluster3	chr8	6	1	6	1285	1345	60	138.7	145.1	4.32771	False	0.0
cluster4	chr8	0	1	0	0	50	50	0.2	6.5	0.85454	False	0.0
cluster4	chr8	1	1	1	50	396	346	6.5	42.9	3.21294	False	0.0
cluster4	chr8	2	1	2	396	416	20	42.9	47.2	1.27612	False	0.0
cluster4	chr8	3	1	3	416	565	149	47.2	62.3	6.11067	False	0.0
cluster4	chr8	4	1	4	565	589	24	62.3	65.5	1.88599	False	0.0
cluster4	chr8	5	1	5	589	675	86	65.5	74.4	5.53494	False	0.0
cluster4	chr8	6	1	6	675	700	25	74.4	77.0	3.2156	False	0.0
cluster4	chr8	7	1	7	700	1239	539	77.0	134.1	6.7184	False	0.0
cluster4	chr8	8	1	8	1239	1259	20	134.1	136.1	2.59293	False	0.0
cluster4	chr8	9	1	9	1259	1285	26	136.1	138.7	0.86267	False	0.0
cluster4	chr8	10	1	10	1285	1345	60	138.7	145.1	5.89409	False	0.0
cluster0	chr9	0	1	0	0	192	192	0.0	22.5	2.74006	False	0.0
cluster0	chr9	1	1	1	192	218	26	22.5	26.7	1.16935	False	0.0
cluster0	chr9	2	1	2	218	660	442	26.7	100.6	3.17792	False	0.0
cluster0	chr9	3	1	3	660	689	29	100.6	103.5	1.29007	False	0.0
cluster0	chr9	4	1	4	689	721	32	103.5	106.7	2.21015	False	0.0
cluster0	chr9	5	1	5	721	816	95	106.7	116.3	4.42957	False	0.0
cluster0	chr9	6	1	6	816	856	40	116.3	120.3	1.91459	False	0.0
cluster0	chr9	7	1	7	856	978	122	120.3	132.5	3.85461	False	0.0
cluster0	chr9	8	1	8	978	1031	53	132.5	138.2	2.78188	False	0.0
cluster1	chr9	0	1	0	0	72	72	0.0	7.3	3.40926	False	0.0
cluster1	chr9	1	1	1	72	94	22	7.3	12.5	0.6766	False	0.0
cluster1	chr9	2	1	2	94	194	100	12.5	22.7	3.03064	False	0.0
cluster1	chr9	3	1	3	194	218	24	22.7	26.7	1.2574	False	0.0
cluster1	chr9	4	1	4	218	980	762	26.7	132.7	3.2369	False	0.0
cluster1	chr9	5	1	5	980	1031	51	132.7	138.2	2.69178	False	0.0
cluster2	chr9	0	1	0	0	71	71	0.0	7.2	3.4342	False	0.0
cluster2	chr9	1	1	1	71	94	23	7.2	12.5	0.88982	False	0.0
cluster2	chr9	2	1	2	94	178	84	12.5	20.9	3.14793	False	0.0
cluster2	chr9	3	1	3	178	218	40	20.9	26.7	1.73401	False	0.0
cluster2	chr9	4	1	4	218	980	762	26.7	132.7	3.33118	False	0.0
cluster2	chr9	5	1	5	980	1031	51	132.7	138.2	2.87629	False	0.0
cluster3	chr9	0	1	0	0	194	194	0.0	22.7	2.72666	False	0.0
cluster3	chr9	1	1	1	194	218	24	22.7	26.7	1.26517	False	0.0
cluster3	chr9	2	1	2	218	276	58	26.7	32.5	2.90957	False	0.0
cluster3	chr9	3	1	3	276	331	55	32.5	38.2	4.67644	False	0.0
cluster3	chr9	4	1	4	331	355	24	38.2	69.6	1.87799	False	0.0
cluster3	chr9	5	1	5	355	660	305	69.6	100.6	3.10336	False	0.0
cluster3	chr9	6	1	6	660	690	30	100.6	103.6	1.3587	False	0.0
cluster3	chr9	7	1	7	690	721	31	103.6	106.7	1.97801	False	0.0
cluster3	chr9	8	1	8	721	816	95	106.7	116.3	4.45199	False	0.0
cluster3	chr9	9	1	9	816	856	40	116.3	120.3	1.83102	False	0.0
cluster3	chr9	10	1	10	856	978	122	120.3	132.5	3.72951	False	0.0
cluster3	chr9	11	1	11	978	1031	53	132.5	138.2	2.40663	False	0.0
cluster4	chr9	0	1	0	0	164	164	0.0	19.5	2.87354	False	0.0
cluster4	chr9	1	1	1	164	219	55	19.5	26.8	1.69829	False	0.0
cluster4	chr9	2	1	2	219	971	752	26.8	131.8	3.16913	False	0.0
cluster4	chr9	3	1	3	971	1031	60	131.8	138.2	2.52528	False	0.0
cluster0	chr13	0	1	0	0	100	100	18.6	29.4	2.85659	False	0.0
cluster0	chr13	1	1	1	100	819	719	29.4	106.6	3.49353	False	0.0
cluster0	chr13	2	1	2	819	894	75	106.6	114.3	2.34249	False	0.0
cluster1	chr13	0	1	0	0	100	100	18.6	29.4	2.64346	False	0.0
cluster1	chr13	1	1	1	100	819	719	29.4	106.6	3.47531	False	0.0
cluster1	chr13	2	1	2	819	894	75	106.6	114.3	2.04298	False	0.0
cluster2	chr13	0	1	0	0	51	51	18.6	24.5	3.22626	False	0.0
cluster2	chr13	1	1	1	51	100	49	24.5	29.4	3.12708	False	0.0
cluster2	chr13	2	1	2	100	333	233	29.4	52.7	3.90747	False	0.0
cluster2	chr13	3	1	3	333	353	20	52.7	60.0	1.28008	False	0.0
cluster2	chr13	4	1	4	353	396	43	60.0	64.3	2.34881	False	0.0
cluster2	chr13	5	1	5	396	819	423	64.3	106.6	3.58274	False	0.0
cluster2	chr13	6	1	6	819	894	75	106.6	114.3	2.61131	False	0.0
cluster3	chr13	0	1	0	0	100	100	18.6	29.4	2.49589	False	0.0
cluster3	chr13	1	1	1	100	207	107	29.4	40.1	3.49436	False	0.0
cluster3	chr13	2	1	2	207	325	118	40.1	51.9	4.42906	False	0.0
cluster3	chr13	3	1	3	325	350	25	51.9	59.7	1.18341	False	0.0
cluster3	chr13	4	1	4	350	395	45	59.7	64.2	2.43107	False	0.0
cluster3	chr13	5	1	5	395	655	260	64.2	90.2	3.62229	False	0.0
cluster3	chr13	6	1	6	655	819	164	90.2	106.6	2.92379	False	0.0
cluster3	chr13	7	1	7	819	894	75	106.6	114.3	2.25602	False	0.0
cluster4	chr13	0	1	0	0	100	100	18.6	29.4	2.58507	False	0.0
cluster4	chr13	1	1	1	100	819	719	29.4	106.6	3.41761	False	0.0
cluster4	chr13	2	1	2	819	894	75	106.6	114.3	2.15052	False	0.0
