source	chromosome	orig_boundary_id	boundary_bin	Mb_boundary	left_orig_seg	right_orig_seg	left_bins	right_bins	removed	retained	final_reason
cluster4	chr5	5	1525	163.3	5	6	22	170	False	True	terminal_unchanged
cluster0	chr7	0	79	8.3	0	1	79	25	False	True	terminal_unchanged
cluster0	chr7	1	104	10.8	1	2	25	198	False	True	effect_ge_tau
cluster0	chr7	2	302	30.6	2	3	198	207	False	True	long_long_not_candidate
cluster0	chr7	3	509	51.4	3	4	207	20	False	True	effect_ge_tau
cluster0	chr7	4	529	53.6	4	5	20	69	False	True	effect_ge_tau
cluster0	chr7	5	598	67.4	5	6	69	27	False	True	effect_ge_tau
cluster0	chr7	6	625	70.1	6	7	27	33	False	True	effect_ge_tau
cluster0	chr7	7	658	73.4	7	8	33	56	False	True	effect_ge_tau
cluster0	chr7	8	714	79.2	8	9	56	60	False	True	effect_ge_tau
cluster0	chr7	9	774	85.2	9	10	60	49	False	True	effect_ge_tau
cluster0	chr7	10	823	90.1	10	11	49	546	False	True	effect_ge_tau
cluster0	chr7	11	1369	145.7	11	12	546	23	False	True	effect_ge_tau
cluster0	chr7	12	1392	148.2	12	13	23	103	False	True	terminal_unchanged
cluster1	chr7	0	79	8.3	0	1	79	25	False	True	terminal_unchanged
cluster1	chr7	1	104	10.8	1	2	25	198	False	True	effect_ge_tau
cluster1	chr7	2	302	30.6	2	3	198	207	False	True	long_long_not_candidate
cluster1	chr7	3	509	51.4	3	4	207	20	False	True	effect_ge_tau
cluster1	chr7	4	529	53.6	4	5	20	69	False	True	effect_ge_tau
cluster1	chr7	5	598	67.4	5	6	69	26	False	True	effect_ge_tau
cluster1	chr7	6	624	70.0	6	7	26	34	False	True	effect_ge_tau
cluster1	chr7	7	658	73.4	7	8	34	56	False	True	effect_ge_tau
cluster1	chr7	8	714	79.2	8	9	56	60	False	True	effect_ge_tau
cluster1	chr7	9	774	85.2	9	10	60	28	False	True	effect_ge_tau
cluster1	chr7	10	802	88.0	10	11	28	21	False	True	effect_ge_tau
cluster1	chr7	11	823	90.1	11	12	21	409	False	True	effect_ge_tau
cluster1	chr7	12	1232	131.5	12	13	409	137	False	True	long_long_not_candidate
cluster1	chr7	13	1369	145.7	13	14	137	126	False	True	terminal_unchanged
cluster2	chr7	0	79	8.3	0	1	79	24	False	True	terminal_unchanged
cluster2	chr7	1	103	10.7	1	2	24	199	False	True	effect_ge_tau
cluster2	chr7	2	302	30.6	2	3	199	207	False	True	long_long_not_candidate
cluster2	chr7	3	509	51.4	3	4	207	20	False	True	effect_ge_tau
cluster2	chr7	4	529	53.6	4	5	20	69	False	True	effect_ge_tau
cluster2	chr7	5	598	67.4	5	6	69	27	False	True	effect_ge_tau
cluster2	chr7	6	625	70.1	6	7	27	32	False	True	effect_ge_tau
cluster2	chr7	7	657	73.3	7	8	32	55	False	True	effect_ge_tau
cluster2	chr7	8	712	79.0	8	9	55	62	False	True	effect_ge_tau
cluster2	chr7	9	774	85.2	9	10	62	49	False	True	effect_ge_tau
cluster2	chr7	10	823	90.1	10	11	49	543	False	True	effect_ge_tau
cluster2	chr7	11	1366	145.4	11	12	543	129	False	True	terminal_unchanged
cluster3	chr7	0	79	8.3	0	1	79	25	False	True	terminal_unchanged
cluster3	chr7	1	104	10.8	1	2	25	198	False	True	effect_ge_tau
cluster3	chr7	2	302	30.6	2	3	198	89	False	True	effect_ge_tau
cluster3	chr7	3	391	39.5	3	4	89	118	False	True	effect_ge_tau
cluster3	chr7	4	509	51.4	4	5	118	20	False	True	effect_ge_tau
cluster3	chr7	5	529	53.6	5	6	20	69	False	True	effect_ge_tau
cluster3	chr7	6	598	67.4	6	7	69	26	False	True	effect_ge_tau
cluster3	chr7	7	624	70.0	7	8	26	34	False	True	effect_ge_tau
cluster3	chr7	8	658	73.4	8	9	34	54	False	True	effect_ge_tau
cluster3	chr7	9	712	79.0	9	10	54	62	False	True	effect_ge_tau
cluster3	chr7	10	774	85.2	10	11	62	28	False	True	effect_ge_tau
cluster3	chr7	11	802	88.0	11	12	28	21	False	True	effect_ge_tau
cluster3	chr7	12	823	90.1	12	13	21	386	False	True	effect_ge_tau
cluster3	chr7	13	1209	129.2	13	14	386	23	False	True	effect_ge_tau
cluster3	chr7	14	1232	131.5	14	15	23	134	False	True	effect_ge_tau
cluster3	chr7	15	1366	145.4	15	16	134	129	False	True	terminal_unchanged
cluster4	chr7	0	79	8.3	0	1	79	25	False	True	terminal_unchanged
cluster4	chr7	1	104	10.8	1	2	25	198	False	True	effect_ge_tau
cluster4	chr7	2	302	30.6	2	3	198	207	False	True	long_long_not_candidate
cluster4	chr7	3	509	51.4	3	4	207	20	False	True	effect_ge_tau
cluster4	chr7	4	529	53.6	4	5	20	69	False	True	effect_ge_tau
cluster4	chr7	5	598	67.4	5	6	69	26	False	True	effect_ge_tau
cluster4	chr7	6	624	70.0	6	7	26	34	False	True	effect_ge_tau
cluster4	chr7	7	658	73.4	7	8	34	54	False	True	effect_ge_tau
cluster4	chr7	8	712	79.0	8	9	54	62	False	True	effect_ge_tau
cluster4	chr7	9	774	85.2	9	10	62	49	False	True	effect_ge_tau
cluster4	chr7	10	823	90.1	10	11	49	410	False	True	effect_ge_tau
cluster4	chr7	11	1233	131.6	11	12	410	133	False	True	long_long_not_candidate
cluster4	chr7	12	1366	145.4	12	13	133	26	False	True	effect_ge_tau
cluster4	chr7	13	1392	148.2	13	14	26	103	False	True	terminal_unchanged
cluster0	chr8	0	50	6.5	0	1	50	825	False	True	terminal_unchanged
cluster0	chr8	1	875	97.5	1	2	825	59	False	True	effect_ge_tau
cluster0	chr8	2	934	103.5	2	3	59	114	False	True	effect_ge_tau
cluster0	chr8	3	1048	115.0	3	4	114	191	False	True	long_long_not_candidate
cluster0	chr8	4	1239	134.1	4	5	191	46	False	True	effect_ge_tau
cluster0	chr8	5	1285	138.7	5	6	46	60	False	True	terminal_unchanged
cluster1	chr8	0	50	6.5	0	1	50	825	False	True	terminal_unchanged
cluster1	chr8	1	875	97.5	1	2	825	59	False	True	effect_ge_tau
cluster1	chr8	2	934	103.5	2	3	59	114	False	True	effect_ge_tau
cluster1	chr8	3	1048	115.0	3	4	114	191	False	True	long_long_not_candidate
cluster1	chr8	4	1239	134.1	4	5	191	46	False	True	effect_ge_tau
cluster1	chr8	5	1285	138.7	5	6	46	60	False	True	terminal_unchanged
cluster2	chr8	0	50	6.5	0	1	50	825	False	True	terminal_unchanged
cluster2	chr8	1	875	97.5	1	2	825	120	False	True	long_long_not_candidate
cluster2	chr8	2	995	109.7	2	3	120	53	False	True	effect_ge_tau
cluster2	chr8	3	1048	115.0	3	4	53	191	False	True	effect_ge_tau
cluster2	chr8	4	1239	134.1	4	5	191	20	False	True	effect_ge_tau
cluster2	chr8	5	1259	136.1	5	6	20	26	False	True	effect_ge_tau
cluster2	chr8	6	1285	138.7	6	7	26	60	False	True	terminal_unchanged
cluster3	chr8	0	50	6.5	0	1	50	826	False	True	terminal_unchanged
cluster3	chr8	1	876	97.6	1	2	826	40	False	True	effect_ge_tau
cluster3	chr8	2	916	101.7	2	3	40	136	False	True	effect_ge_tau
cluster3	chr8	3	1052	115.4	3	4	136	187	False	True	long_long_not_candidate
cluster3	chr8	4	1239	134.1	4	5	187	46	False	True	effect_ge_tau
cluster3	chr8	5	1285	138.7	5	6	46	60	False	True	terminal_unchanged
cluster4	chr8	0	50	6.5	0	1	50	346	False	True	terminal_unchanged
cluster4	chr8	1	396	42.9	1	2	346	20	False	True	effect_ge_tau
cluster4	chr8	2	416	47.2	2	3	20	149	False	True	effect_ge_tau
cluster4	chr8	3	565	62.3	3	4	149	24	False	True	effect_ge_tau
cluster4	chr8	4	589	65.5	4	5	24	86	False	True	effect_ge_tau
cluster4	chr8	5	675	74.4	5	6	86	25	False	True	effect_ge_tau
cluster4	chr8	6	700	77.0	6	7	25	539	False	True	effect_ge_tau
cluster4	chr8	7	1239	134.1	7	8	539	20	False	True	effect_ge_tau
cluster4	chr8	8	1259	136.1	8	9	20	26	False	True	effect_ge_tau
cluster4	chr8	9	1285	138.7	9	10	26	60	False	True	terminal_unchanged
cluster0	chr9	0	192	22.5	0	1	192	26	False	True	terminal_unchanged
cluster0	chr9	1	218	26.7	1	2	26	442	False	True	effect_ge_tau
cluster0	chr9	2	660	100.6	2	3	442	29	False	True	effect_ge_tau
cluster0	chr9	3	689	103.5	3	4	29	32	False	True	effect_ge_tau
cluster0	chr9	4	721	106.7	4	5	32	95	False	True	effect_ge_tau
cluster0	chr9	5	816	116.3	5	6	95	40	False	True	effect_ge_tau
cluster0	chr9	6	856	120.3	6	7	40	122	False	True	effect_ge_tau
cluster0	chr9	7	978	132.5	7	8	122	53	False	True	terminal_unchanged
cluster1	chr9	0	72	7.3	0	1	72	22	False	True	terminal_unchanged
cluster1	chr9	1	94	12.5	1	2	22	100	False	True	effect_ge_tau
cluster1	chr9	2	194	22.7	2	3	100	24	False	True	effect_ge_tau
cluster1	chr9	3	218	26.7	3	4	24	762	False	True	effect_ge_tau
cluster1	chr9	4	980	132.7	4	5	762	51	False	True	terminal_unchanged
cluster2	chr9	0	71	7.2	0	1	71	23	False	True	terminal_unchanged
cluster2	chr9	1	94	12.5	1	2	23	84	False	True	effect_ge_tau
cluster2	chr9	2	178	20.9	2	3	84	40	False	True	effect_ge_tau
cluster2	chr9	3	218	26.7	3	4	40	762	False	True	effect_ge_tau
cluster2	chr9	4	980	132.7	4	5	762	51	False	True	terminal_unchanged
cluster3	chr9	0	194	22.7	0	1	194	24	False	True	terminal_unchanged
cluster3	chr9	1	218	26.7	1	2	24	58	False	True	effect_ge_tau
cluster3	chr9	2	276	32.5	2	3	58	55	False	True	effect_ge_tau
cluster3	chr9	3	331	38.2	3	4	55	24	False	True	effect_ge_tau
cluster3	chr9	4	355	69.6	4	5	24	305	False	True	effect_ge_tau
cluster3	chr9	5	660	100.6	5	6	305	30	False	True	effect_ge_tau
cluster3	chr9	6	690	103.6	6	7	30	31	False	True	effect_ge_tau
cluster3	chr9	7	721	106.7	7	8	31	95	False	True	effect_ge_tau
cluster3	chr9	8	816	116.3	8	9	95	40	False	True	effect_ge_tau
cluster3	chr9	9	856	120.3	9	10	40	122	False	True	effect_ge_tau
cluster3	chr9	10	978	132.5	10	11	122	53	False	True	terminal_unchanged
cluster4	chr9	0	164	19.5	0	1	164	55	False	True	terminal_unchanged
cluster4	chr9	1	219	26.8	1	2	55	752	False	True	effect_ge_tau
cluster4	chr9	2	971	131.8	2	3	752	60	False	True	terminal_unchanged
cluster0	chr13	0	100	29.4	0	1	100	719	False	True	terminal_unchanged
cluster0	chr13	1	819	106.6	1	2	719	75	False	True	terminal_unchanged
cluster1	chr13	0	100	29.4	0	1	100	719	False	True	terminal_unchanged
cluster1	chr13	1	819	106.6	1	2	719	75	False	True	terminal_unchanged
cluster2	chr13	0	51	24.5	0	1	51	49	False	True	terminal_unchanged
cluster2	chr13	1	100	29.4	1	2	49	233	False	True	effect_ge_tau
cluster2	chr13	2	333	52.7	2	3	233	20	False	True	effect_ge_tau
cluster2	chr13	3	353	60.0	3	4	20	43	False	True	effect_ge_tau
cluster2	chr13	4	396	64.3	4	5	43	423	False	True	effect_ge_tau
cluster2	chr13	5	819	106.6	5	6	423	75	False	True	terminal_unchanged
cluster3	chr13	0	100	29.4	0	1	100	107	False	True	terminal_unchanged
cluster3	chr13	1	207	40.1	1	2	107	118	False	True	long_long_not_candidate
cluster3	chr13	2	325	51.9	2	3	118	25	False	True	effect_ge_tau
cluster3	chr13	3	350	59.7	3	4	25	45	False	True	effect_ge_tau
cluster3	chr13	4	395	64.2	4	5	45	260	False	True	effect_ge_tau
cluster3	chr13	5	655	90.2	5	6	260	164	False	True	long_long_not_candidate
cluster3	chr13	6	819	106.6	6	7	164	75	False	True	terminal_unchanged
cluster4	chr13	0	100	29.4	0	1	100	719	False	True	terminal_unchanged
cluster4	chr13	1	819	106.6	1	2	719	75	False	True	terminal_unchanged
