source	chromosome	orig_seg_id	bin_start	bin_end	side	srd	srd_phi	pooled_phi
cluster4	chr5	2	1037	1090	right	-11.2327	-9.2714	1.4678
cluster4	chr5	4	1414	1503	left	-6.735	-5.559	1.4678
cluster4	chr5	4	1414	1503	right	6.9186	5.7106	1.4678
cluster4	chr5	5	1503	1525	left	-6.9186	-5.7106	1.4678
cluster4	chr5	5	1503	1525	right	-8.2557	-6.8143	1.4678
cluster0	chr7	1	79	104	left	-5.0294	-4.4914	1.2539
cluster0	chr7	1	79	104	right	-8.2902	-7.4035	1.2539
cluster0	chr7	4	509	529	left	-7.1213	-6.3596	1.2539
cluster0	chr7	4	509	529	right	-5.5294	-4.9379	1.2539
cluster0	chr7	5	529	598	left	5.5294	4.9379	1.2539
cluster0	chr7	5	529	598	right	8.454	7.5497	1.2539
cluster0	chr7	6	598	625	left	-8.454	-7.5497	1.2539
cluster0	chr7	6	598	625	right	-3.578	-3.1953	1.2539
cluster0	chr7	7	625	658	left	3.578	3.1953	1.2539
cluster0	chr7	7	625	658	right	-6.6132	-5.9059	1.2539
cluster0	chr7	8	658	714	left	6.6132	5.9059	1.2539
cluster0	chr7	8	658	714	right	-5.694	-5.0849	1.2539
cluster0	chr7	9	714	774	left	5.694	5.0849	1.2539
cluster0	chr7	9	714	774	right	7.1774	6.4097	1.2539
cluster0	chr7	10	774	823	left	-7.1774	-6.4097	1.2539
cluster0	chr7	10	774	823	right	-4.1123	-3.6724	1.2539
cluster0	chr7	12	1369	1392	left	-7.6994	-6.8759	1.2539
cluster0	chr7	12	1369	1392	right	-4.3713	-3.9037	1.2539
cluster1	chr7	1	79	104	left	-5.2898	-4.586	1.3305
cluster1	chr7	1	79	104	right	-8.5336	-7.3983	1.3305
cluster1	chr7	4	509	529	left	-7.2548	-6.2896	1.3305
cluster1	chr7	4	509	529	right	-5.5565	-4.8173	1.3305
cluster1	chr7	5	529	598	left	5.5565	4.8173	1.3305
cluster1	chr7	5	529	598	right	8.5917	7.4486	1.3305
cluster1	chr7	6	598	624	left	-8.5917	-7.4486	1.3305
cluster1	chr7	6	598	624	right	-3.6587	-3.172	1.3305
cluster1	chr7	7	624	658	left	3.6587	3.172	1.3305
cluster1	chr7	7	624	658	right	-7.115	-6.1685	1.3305
cluster1	chr7	8	658	714	left	7.115	6.1685	1.3305
cluster1	chr7	8	658	714	right	-5.4227	-4.7013	1.3305
cluster1	chr7	9	714	774	left	5.4227	4.7013	1.3305
cluster1	chr7	9	714	774	right	4.4675	3.8731	1.3305
cluster1	chr7	10	774	802	left	-4.4675	-3.8731	1.3305
cluster1	chr7	10	774	802	right	2.6918	2.3337	1.3305
cluster1	chr7	11	802	823	left	-2.6918	-2.3337	1.3305
cluster1	chr7	11	802	823	right	-5.0282	-4.3592	1.3305
cluster2	chr7	1	79	103	left	-4.5412	-4.9605	0.8381
cluster2	chr7	1	79	103	right	-7.3105	-7.9855	0.8381
cluster2	chr7	4	509	529	left	-6.5187	-7.1205	0.8381
cluster2	chr7	4	509	529	right	-4.6306	-5.0582	0.8381
cluster2	chr7	5	529	598	left	4.6306	5.0582	0.8381
cluster2	chr7	5	529	598	right	7.5819	8.2819	0.8381
cluster2	chr7	6	598	625	left	-7.5819	-8.2819	0.8381
cluster2	chr7	6	598	625	right	-3.2121	-3.5086	0.8381
cluster2	chr7	7	625	657	left	3.2121	3.5086	0.8381
cluster2	chr7	7	625	657	right	-5.8194	-6.3566	0.8381
cluster2	chr7	8	657	712	left	5.8194	6.3566	0.8381
cluster2	chr7	8	657	712	right	-4.6843	-5.1168	0.8381
cluster2	chr7	9	712	774	left	4.6843	5.1168	0.8381
cluster2	chr7	9	712	774	right	5.5273	6.0376	0.8381
cluster2	chr7	10	774	823	left	-5.5273	-6.0376	0.8381
cluster2	chr7	10	774	823	right	-3.471	-3.7914	0.8381
cluster3	chr7	1	79	104	left	-5.004	-4.3235	1.3395
cluster3	chr7	1	79	104	right	-8.4666	-7.3152	1.3395
cluster3	chr7	3	302	391	left	-7.8388	-6.7729	1.3395
cluster3	chr7	3	302	391	right	-3.7833	-3.2688	1.3395
cluster3	chr7	5	509	529	left	-7.4486	-6.4357	1.3395
cluster3	chr7	5	509	529	right	-5.1839	-4.479	1.3395
cluster3	chr7	6	529	598	left	5.1839	4.479	1.3395
cluster3	chr7	6	529	598	right	8.1272	7.0221	1.3395
cluster3	chr7	7	598	624	left	-8.1272	-7.0221	1.3395
cluster3	chr7	7	598	624	right	-3.1057	-2.6834	1.3395
cluster3	chr7	8	624	658	left	3.1057	2.6834	1.3395
cluster3	chr7	8	624	658	right	-7.5221	-6.4993	1.3395
cluster3	chr7	9	658	712	left	7.5221	6.4993	1.3395
cluster3	chr7	9	658	712	right	-5.9166	-5.1121	1.3395
cluster3	chr7	10	712	774	left	5.9166	5.1121	1.3395
cluster3	chr7	10	712	774	right	5.221	4.511	1.3395
cluster3	chr7	11	774	802	left	-5.221	-4.511	1.3395
cluster3	chr7	11	774	802	right	2.4964	2.1569	1.3395
cluster3	chr7	12	802	823	left	-2.4964	-2.1569	1.3395
cluster3	chr7	12	802	823	right	-4.7847	-4.1341	1.3395
cluster3	chr7	14	1209	1232	left	3.6985	3.1956	1.3395
cluster3	chr7	14	1209	1232	right	5.9627	5.1519	1.3395
cluster4	chr7	1	79	104	left	-6.4716	-6.057	1.1416
cluster4	chr7	1	79	104	right	-9.511	-8.9017	1.1416
cluster4	chr7	4	509	529	left	-7.0152	-6.5657	1.1416
cluster4	chr7	4	509	529	right	-5.133	-4.8042	1.1416
cluster4	chr7	5	529	598	left	5.133	4.8042	1.1416
cluster4	chr7	5	529	598	right	8.2801	7.7496	1.1416
cluster4	chr7	6	598	624	left	-8.2801	-7.7496	1.1416
cluster4	chr7	6	598	624	right	-4.0389	-3.7802	1.1416
cluster4	chr7	7	624	658	left	4.0389	3.7802	1.1416
cluster4	chr7	7	624	658	right	-6.312	-5.9076	1.1416
cluster4	chr7	8	658	712	left	6.312	5.9076	1.1416
cluster4	chr7	8	658	712	right	-5.0384	-4.7156	1.1416
cluster4	chr7	9	712	774	left	5.0384	4.7156	1.1416
cluster4	chr7	9	712	774	right	6.5519	6.1321	1.1416
cluster4	chr7	10	774	823	left	-6.5519	-6.1321	1.1416
cluster4	chr7	10	774	823	right	-4.3725	-4.0923	1.1416
cluster4	chr7	13	1366	1392	left	-6.5379	-6.119	1.1416
cluster4	chr7	13	1366	1392	right	-5.258	-4.9211	1.1416
cluster0	chr8	2	875	934	left	4.9168	4.0302	1.4883
cluster0	chr8	2	875	934	right	3.6696	3.0079	1.4883
cluster0	chr8	5	1239	1285	left	-13.372	-10.9609	1.4883
cluster0	chr8	5	1239	1285	right	-8.7609	-7.1812	1.4883
cluster1	chr8	2	875	934	left	4.7649	3.7776	1.591
cluster1	chr8	2	875	934	right	3.7731	2.9913	1.591
cluster1	chr8	5	1239	1285	left	-13.7596	-10.9086	1.591
cluster1	chr8	5	1239	1285	right	-9.0344	-7.1625	1.591
cluster2	chr8	3	995	1048	left	-3.1633	-3.1986	0.978
cluster2	chr8	3	995	1048	right	-8.3249	-8.4178	0.978
cluster2	chr8	5	1239	1259	left	-5.2755	-5.3344	0.978
cluster2	chr8	5	1239	1259	right	5.7082	5.7719	0.978
cluster2	chr8	6	1259	1285	left	-5.7082	-5.7719	0.978
cluster2	chr8	6	1259	1285	right	-9.7	-9.8083	0.978
cluster3	chr8	2	876	916	left	5.4562	4.233	1.6615
cluster3	chr8	2	876	916	right	3.2781	2.5432	1.6615
cluster3	chr8	5	1239	1285	left	-14.5386	-11.2791	1.6615
cluster3	chr8	5	1239	1285	right	-9.9836	-7.7454	1.6615
cluster4	chr8	2	396	416	left	-5.3603	-3.8927	1.8961
cluster4	chr8	2	396	416	right	-10.6256	-7.7165	1.8961
cluster4	chr8	4	565	589	left	-8.6349	-6.2708	1.8961
cluster4	chr8	4	565	589	right	-7.8781	-5.7212	1.8961
cluster4	chr8	5	589	675	left	7.8781	5.7212	1.8961
cluster4	chr8	5	589	675	right	6.2763	4.5579	1.8961
cluster4	chr8	6	675	700	left	-6.2763	-4.5579	1.8961
cluster4	chr8	6	675	700	right	-8.5467	-6.2068	1.8961
cluster4	chr8	8	1239	1259	left	-6.9829	-5.0711	1.8961
cluster4	chr8	8	1239	1259	right	6.8376	4.9656	1.8961
cluster4	chr8	9	1259	1285	left	-6.8376	-4.9656	1.8961
cluster4	chr8	9	1259	1285	right	-12.5006	-9.0781	1.8961
cluster0	chr9	1	192	218	left	-4.4438	-3.8397	1.3394
cluster0	chr9	1	192	218	right	-5.6217	-4.8575	1.3394
cluster0	chr9	3	660	689	left	-6.4351	-5.5603	1.3394
cluster0	chr9	3	660	689	right	-2.9024	-2.5078	1.3394
cluster0	chr9	4	689	721	left	2.9024	2.5078	1.3394
cluster0	chr9	4	689	721	right	-5.2218	-4.512	1.3394
cluster0	chr9	5	721	816	left	5.2218	4.512	1.3394
cluster0	chr9	5	721	816	right	7.2426	6.258	1.3394
cluster0	chr9	6	816	856	left	-7.2426	-6.258	1.3394
cluster0	chr9	6	816	856	right	-5.6503	-4.8822	1.3394
cluster1	chr9	1	72	94	left	-8.2054	-6.701	1.4994
cluster1	chr9	1	72	94	right	-8.1423	-6.6495	1.4994
cluster1	chr9	2	94	194	left	8.1423	6.6495	1.4994
cluster1	chr9	2	94	194	right	4.4936	3.6698	1.4994
cluster1	chr9	3	194	218	left	-4.4936	-3.6698	1.4994
cluster1	chr9	3	194	218	right	-5.1897	-4.2382	1.4994
cluster2	chr9	1	71	94	left	-7.3981	-7.7487	0.9116
cluster2	chr9	1	71	94	right	-7.336	-7.6837	0.9116
cluster2	chr9	2	94	178	left	7.336	7.6837	0.9116
cluster2	chr9	2	94	178	right	4.7064	4.9294	0.9116
cluster2	chr9	3	178	218	left	-4.7064	-4.9294	0.9116
cluster2	chr9	3	178	218	right	-5.6234	-5.8898	0.9116
cluster3	chr9	1	194	218	left	-4.1593	-3.4414	1.4608
cluster3	chr9	1	194	218	right	-4.1249	-3.4129	1.4608
cluster3	chr9	2	218	276	left	4.1249	3.4129	1.4608
cluster3	chr9	2	218	276	right	-4.1584	-3.4406	1.4608
cluster3	chr9	3	276	331	left	4.1584	3.4406	1.4608
cluster3	chr9	3	276	331	right	6.0409	4.9982	1.4608
cluster3	chr9	4	331	355	left	-6.0409	-4.9982	1.4608
cluster3	chr9	4	331	355	right	-3.88	-3.2103	1.4608
cluster3	chr9	6	660	690	left	-6.3266	-5.2345	1.4608
cluster3	chr9	6	660	690	right	-2.5987	-2.1502	1.4608
cluster3	chr9	7	690	721	left	2.5987	2.1502	1.4608
cluster3	chr9	7	690	721	right	-5.7794	-4.7818	1.4608
cluster3	chr9	8	721	816	left	5.7794	4.7818	1.4608
cluster3	chr9	8	721	816	right	8.1037	6.7049	1.4608
cluster3	chr9	9	816	856	left	-8.1037	-6.7049	1.4608
cluster3	chr9	9	816	856	right	-6.6842	-5.5304	1.4608
cluster4	chr9	1	164	219	left	-4.3341	-3.7677	1.3232
cluster4	chr9	1	164	219	right	-5.876	-5.1082	1.3232
cluster2	chr13	1	51	100	left	1.4323	1.596	0.8054
cluster2	chr13	1	51	100	right	-3.2572	-3.6294	0.8054
cluster2	chr13	3	333	353	left	-6.1743	-6.8798	0.8054
cluster2	chr13	3	333	353	right	-2.2508	-2.508	0.8054
cluster2	chr13	4	353	396	left	2.2508	2.508	0.8054
cluster2	chr13	4	353	396	right	-5.1347	-5.7213	0.8054
cluster3	chr13	3	325	350	left	-7.3939	-6.6418	1.2393
cluster3	chr13	3	325	350	right	-1.6642	-1.495	1.2393
cluster3	chr13	4	350	395	left	1.6642	1.495	1.2393
cluster3	chr13	4	350	395	right	-5.303	-4.7636	1.2393
