source	chromosome	tau	stab	n_orig_boundaries	n_merged	n_retained	n_simplified_segments
cluster0	chr13	0.25	0.9	2	0	2	3
cluster0	chr13	0.25	0.95	2	0	2	3
cluster1	chr13	0.15	0.8	2	0	2	3
cluster1	chr13	0.15	0.9	2	0	2	3
cluster1	chr13	0.15	0.95	2	0	2	3
cluster1	chr13	0.2	0.8	2	0	2	3
cluster1	chr13	0.2	0.9	2	0	2	3
cluster1	chr13	0.2	0.95	2	0	2	3
cluster1	chr13	0.25	0.8	2	0	2	3
cluster1	chr13	0.25	0.9	2	0	2	3
cluster1	chr13	0.25	0.95	2	0	2	3
cluster2	chr13	0.15	0.8	6	0	6	7
cluster2	chr13	0.15	0.9	6	0	6	7
cluster2	chr13	0.15	0.95	6	0	6	7
cluster2	chr13	0.2	0.8	6	0	6	7
cluster2	chr13	0.2	0.9	6	0	6	7
cluster2	chr13	0.2	0.95	6	0	6	7
cluster2	chr13	0.25	0.8	6	0	6	7
cluster2	chr13	0.25	0.9	6	0	6	7
cluster2	chr13	0.25	0.95	6	0	6	7
cluster3	chr13	0.15	0.8	7	0	7	8
cluster3	chr13	0.15	0.9	7	0	7	8
cluster3	chr13	0.15	0.95	7	0	7	8
cluster3	chr13	0.2	0.8	7	0	7	8
cluster3	chr13	0.2	0.9	7	0	7	8
cluster3	chr13	0.2	0.95	7	0	7	8
cluster3	chr13	0.25	0.8	7	0	7	8
cluster3	chr13	0.25	0.9	7	0	7	8
cluster3	chr13	0.25	0.95	7	0	7	8
cluster4	chr13	0.15	0.8	2	0	2	3
cluster4	chr13	0.15	0.9	2	0	2	3
cluster4	chr13	0.15	0.95	2	0	2	3
cluster4	chr13	0.2	0.8	2	0	2	3
cluster4	chr13	0.2	0.9	2	0	2	3
cluster4	chr13	0.2	0.95	2	0	2	3
cluster4	chr13	0.25	0.8	2	0	2	3
cluster4	chr13	0.25	0.9	2	0	2	3
cluster4	chr13	0.25	0.95	2	0	2	3
