source	chromosome	orig_seg_id	bin_start	bin_end	seg_length	Mb_start	Mb_end	median_seg	mean_seg_perbin	trimmean_seg_perbin	var_seg_perbin	std_seg_perbin	cv_seg_perbin	n_bins_seg	median_left	delta_left	srd_phi_left	frac_under_left	eligible_left	merged_left	reason_left	flank_orig_seg_left	mean_left_flank_perbin	trimmean_left_flank_perbin	var_left_flank_perbin	std_left_flank_perbin	cv_left_flank_perbin	n_bins_left_flank	delta_mean_left	delta_trim_left	median_right	delta_right	srd_phi_right	frac_under_right	eligible_right	merged_right	reason_right	flank_orig_seg_right	mean_right_flank_perbin	trimmean_right_flank_perbin	var_right_flank_perbin	std_right_flank_perbin	cv_right_flank_perbin	n_bins_right_flank	delta_mean_right	delta_trim_right
cluster2	chr1	6	1315	1414	99	156.8	166.8	6.52953	6.94163	6.70973	10.115271	3.18045	0.45817	99	9.82297	-0.5892	-6.242	0.0	False	False	effect_ge_tau	5	10.21278	9.89622	15.307195	3.91244	0.38309	70	-0.557	-0.5606	7.76027	-0.2491	-4.7309	0.0	False	False	effect_ge_tau	7	8.59953	8.1522	16.689803	4.08532	0.47506	690	-0.309	-0.2809
cluster3	chr1	2	463	493	30	47.5	50.5	1.94225	1.98774	1.91986	0.643364	0.8021	0.40352	30	4.12894	-1.088	-4.2021	0.0	False	False	effect_ge_tau	1	4.29129	4.10306	6.041154	2.45788	0.57276	413	-1.1103	-1.0957	3.03595	-0.6444	-3.2379	0.0	False	False	effect_ge_tau	3	3.67734	3.23193	5.358568	2.31486	0.62949	333	-0.8875	-0.7514
cluster3	chr1	5	1183	1245	62	120.0	149.8	2.10965	3.46864	2.6936	15.081549	3.8835	1.1196	62	3.63891	-0.7865	-1.7994	0.0	False	False	effect_ge_tau	4	4.24332	3.97719	5.876448	2.42414	0.57128	357	-0.2908	-0.5622	10.64862	-2.3356	-10.5908	0.0	False	False	effect_ge_tau	6	11.19742	10.74331	26.526077	5.15035	0.45996	70	-1.6907	-1.9958
cluster3	chr1	6	1245	1315	70	149.8	156.8	10.64862	11.19742	10.74331	26.526077	5.15035	0.45996	70	2.10965	2.3356	10.5908	0.0	False	False	effect_ge_tau	5	3.46864	2.6936	15.081549	3.8835	1.1196	62	1.6907	1.9958	4.14732	1.3604	5.5108	0.0	False	False	effect_ge_tau	7	4.93384	4.93384	5.173788	2.2746	0.46102	21	1.1824	1.1227
cluster3	chr1	7	1315	1336	21	156.8	158.9	4.14732	4.93384	4.93384	5.173788	2.2746	0.46102	21	10.64862	-1.3604	-5.5108	0.0	False	False	effect_ge_tau	6	11.19742	10.74331	26.526077	5.15035	0.45996	70	-1.1824	-1.1227	7.0253	-0.7604	-3.1541	0.0	False	False	effect_ge_tau	8	8.36646	7.8125	17.943153	4.23594	0.5063	44	-0.7619	-0.6631
cluster3	chr1	8	1336	1380	44	158.9	163.4	7.0253	8.36646	7.8125	17.943153	4.23594	0.5063	44	4.14732	0.7604	3.1541	0.0	False	False	effect_ge_tau	7	4.93384	4.93384	5.173788	2.2746	0.46102	21	0.7619	0.6631	3.90639	0.8467	4.6632	0.0	False	False	effect_ge_tau	9	4.17366	3.74234	5.424723	2.3291	0.55805	34	1.0033	1.0618
cluster3	chr1	9	1380	1414	34	163.4	166.8	3.90639	4.17366	3.74234	5.424723	2.3291	0.55805	34	7.0253	-0.8467	-4.6632	0.0	False	False	effect_ge_tau	8	8.36646	7.8125	17.943153	4.23594	0.5063	44	-1.0033	-1.0618	7.47439	-0.9361	-6.3865	0.0	False	False	effect_ge_tau	10	8.86951	7.86603	37.801684	6.14831	0.6932	690	-1.0875	-1.0717
cluster4	chr1	2	456	493	37	46.8	50.5	2.19736	2.40666	2.40666	1.858227	1.36317	0.56642	37	3.95705	-0.8487	-3.7307	0.0	False	False	effect_ge_tau	1	4.11243	3.98594	4.481824	2.11703	0.51479	406	-0.773	-0.7279	3.22082	-0.5517	-3.3067	0.0	False	False	effect_ge_tau	3	3.86344	3.55078	4.636201	2.15318	0.55732	690	-0.6829	-0.5611
cluster4	chr1	4	1183	1245	62	120.0	149.8	2.15959	3.57694	3.17748	14.283371	3.77933	1.05658	62	3.22082	-0.5767	-0.7776	0.0	False	False	effect_ge_tau	3	3.86344	3.55078	4.636201	2.15318	0.55732	690	-0.1112	-0.1603	9.59017	-2.1508	-10.3348	0.0	False	False	effect_ge_tau	5	10.26534	10.04879	20.517997	4.52968	0.44126	70	-1.521	-1.6611
cluster4	chr1	5	1245	1315	70	149.8	156.8	9.59017	10.26534	10.04879	20.517997	4.52968	0.44126	70	2.15959	2.1508	10.3348	0.0	False	False	effect_ge_tau	4	3.57694	3.17748	14.283371	3.77933	1.05658	62	1.521	1.6611	5.79963	0.7256	4.6421	0.0	False	False	effect_ge_tau	6	6.91298	6.44512	13.483475	3.67199	0.53117	65	0.5704	0.6407
cluster4	chr1	6	1315	1380	65	156.8	163.4	5.79963	6.91298	6.44512	13.483475	3.67199	0.53117	65	9.59017	-0.7256	-4.6421	0.0	False	False	effect_ge_tau	5	10.26534	10.04879	20.517997	4.52968	0.44126	70	-0.5704	-0.6407	3.25311	0.8341	3.2817	0.0	False	False	effect_ge_tau	7	4.51606	4.27543	8.032303	2.83413	0.62757	34	0.6142	0.5921
cluster4	chr1	7	1380	1414	34	163.4	166.8	3.25311	4.51606	4.27543	8.032303	2.83413	0.62757	34	5.79963	-0.8341	-3.2817	0.0	False	False	effect_ge_tau	6	6.91298	6.44512	13.483475	3.67199	0.53117	65	-0.6142	-0.5921	7.42251	-1.1901	-5.9618	0.0	False	False	effect_ge_tau	8	8.47845	7.89279	28.347903	5.32427	0.62798	690	-0.9087	-0.8845
cluster0	chr2	1	81	125	44	8.6	13.1	4.36719	4.94114	4.83099	3.051029	1.74672	0.35351	44	1.75313	1.3168	7.5803	0.0	False	False	terminal_unchanged	0	2.09147	1.84814	2.430991	1.55916	0.74549	81	1.2403	1.3862	3.34959	0.3827	3.0639	0.0	False	False	effect_ge_tau	2	3.77765	3.48958	5.588627	2.36403	0.62579	199	0.3874	0.4693
cluster0	chr2	3	324	349	25	33.6	36.3	1.46131	1.72634	1.72634	0.606579	0.77883	0.45115	25	3.34959	-1.1967	-5.0825	0.0	False	False	effect_ge_tau	2	3.77765	3.48958	5.588627	2.36403	0.62579	199	-1.1298	-1.0153	4.92397	-1.7526	-6.6089	0.0	False	False	effect_ge_tau	4	5.33664	5.33664	3.460408	1.86022	0.34857	33	-1.6282	-1.6282
cluster0	chr2	4	349	382	33	36.3	39.6	4.92397	5.33664	5.33664	3.460408	1.86022	0.34857	33	1.46131	1.7526	6.6089	0.0	False	False	effect_ge_tau	3	1.72634	1.72634	0.606579	0.77883	0.45115	25	1.6282	1.6282	3.83974	0.3588	2.7748	0.0	False	False	effect_ge_tau	5	4.1415	4.00566	4.390565	2.09537	0.50594	362	0.3658	0.4139
cluster0	chr2	6	744	766	22	76.0	80.8	1.12517	1.10165	1.10165	0.485539	0.69681	0.63251	22	3.83974	-1.7709	-7.3616	0.0	False	False	effect_ge_tau	5	4.1415	4.00566	4.390565	2.09537	0.50594	362	-1.9105	-1.8624	3.24748	-1.5292	-6.4428	0.0	False	False	effect_ge_tau	7	3.73513	3.48371	4.226944	2.05595	0.55044	144	-1.7615	-1.661
cluster0	chr2	8	910	956	46	102.8	107.5	1.52182	1.95394	1.5442	2.714879	1.64769	0.84327	46	3.24748	-1.0935	-5.523	0.0	False	False	effect_ge_tau	7	3.73513	3.48371	4.226944	2.05595	0.55044	144	-0.9348	-1.1738	2.51636	-0.7255	-3.6784	0.0	False	False	effect_ge_tau	9	2.99704	2.78097	4.264829	2.06515	0.68906	278	-0.6172	-0.8487
cluster1	chr2	1	81	141	60	8.6	14.8	4.07791	4.59988	4.36965	3.069143	1.7519	0.38086	60	1.62075	1.3312	7.5358	0.0	False	False	terminal_unchanged	0	1.97091	1.70912	2.643215	1.6258	0.8249	81	1.2227	1.3543	3.07582	0.4069	2.574	0.0	False	False	effect_ge_tau	2	3.7055	3.51816	6.26277	2.50255	0.67536	183	0.3119	0.3127
cluster1	chr2	3	324	349	25	33.6	36.3	1.43336	1.63791	1.56761	0.437101	0.66114	0.40365	25	3.07582	-1.1016	-4.959	0.0	False	False	effect_ge_tau	2	3.7055	3.51816	6.26277	2.50255	0.67536	183	-1.1778	-1.1663	4.84935	-1.7584	-6.4278	0.0	False	False	effect_ge_tau	4	5.25405	5.11088	3.85582	1.96362	0.37374	33	-1.6816	-1.705
cluster1	chr2	4	349	382	33	36.3	39.6	4.84935	5.25405	5.11088	3.85582	1.96362	0.37374	33	1.43336	1.7584	6.4278	0.0	False	False	effect_ge_tau	3	1.63791	1.56761	0.437101	0.66114	0.40365	25	1.6816	1.705	3.60996	0.4258	2.5581	0.0	False	False	effect_ge_tau	5	4.11031	3.93269	4.752911	2.18012	0.5304	362	0.3542	0.3781
cluster1	chr2	6	744	765	21	76.0	80.7	1.0588	1.06575	0.96981	0.478049	0.69141	0.64876	21	3.60996	-1.7695	-6.9529	0.0	False	False	effect_ge_tau	5	4.11031	3.93269	4.752911	2.18012	0.5304	362	-1.9474	-2.0197	3.24131	-1.6141	-6.1268	0.0	False	False	effect_ge_tau	7	3.71989	3.3808	4.682253	2.16385	0.5817	145	-1.8034	-1.8016
cluster1	chr2	9	1143	1234	91	133.0	142.1	2.55133	2.98802	2.55817	2.8538	1.68932	0.56537	91	2.0604	0.3083	1.0306	0.0	False	False	effect_ge_tau	8	2.73921	2.56637	4.919402	2.21797	0.80971	233	0.1254	-0.0046	3.49432	-0.4538	-4.8974	0.0	False	False	effect_ge_tau	10	4.19153	3.87841	5.875501	2.42394	0.5783	932	-0.4883	-0.6004
cluster2	chr2	2	744	765	21	76.0	80.7	1.27194	1.31859	1.31859	0.617181	0.78561	0.59579	21	3.78777	-1.5743	-7.7083	0.0	False	False	effect_ge_tau	1	3.9569	3.8517	3.099032	1.76041	0.4449	661	-1.5854	-1.5465	3.48528	-1.4542	-6.9721	0.0	False	False	effect_ge_tau	3	3.75004	3.63512	2.732028	1.65288	0.44077	145	-1.5079	-1.463
cluster3	chr2	1	81	125	44	8.6	13.1	4.50341	4.99192	4.85618	3.632635	1.90595	0.38181	44	1.3593	1.7282	8.2202	0.0	False	False	terminal_unchanged	0	1.78863	1.54721	2.044593	1.42989	0.79943	81	1.4807	1.6502	3.00582	0.5833	2.4075	0.0	False	False	effect_ge_tau	2	3.86763	3.15375	7.149844	2.67392	0.69136	77	0.3681	0.6228
cluster3	chr2	2	125	202	77	13.1	20.9	3.00582	3.86763	3.15375	7.149844	2.67392	0.69136	77	4.50341	-0.5833	-2.4075	0.0	False	False	effect_ge_tau	1	4.99192	4.85618	3.632635	1.90595	0.38181	44	-0.3681	-0.6228	0.64172	2.2277	7.0004	0.0	False	False	effect_ge_tau	3	0.7291	0.6476	0.170999	0.41352	0.56716	21	2.4073	2.2839
cluster3	chr2	3	202	223	21	20.9	23.3	0.64172	0.7291	0.6476	0.170999	0.41352	0.56716	21	3.00582	-2.2277	-7.0004	0.0	False	False	effect_ge_tau	2	3.86763	3.15375	7.149844	2.67392	0.69136	77	-2.4073	-2.2839	3.62872	-2.4994	-7.8933	0.0	False	False	effect_ge_tau	4	4.12115	3.98601	5.161276	2.27184	0.55127	521	-2.4989	-2.6218
cluster3	chr2	5	744	766	22	76.0	80.8	0.97102	0.99307	0.99307	0.356552	0.59712	0.60129	22	3.62872	-1.9019	-7.2406	0.0	False	False	effect_ge_tau	4	4.12115	3.98601	5.161276	2.27184	0.55127	521	-2.0531	-2.005	2.87587	-1.5664	-5.6237	0.0	False	False	effect_ge_tau	6	3.32819	3.04035	3.957861	1.98944	0.59775	123	-1.7448	-1.6143
cluster3	chr2	7	889	910	21	100.7	102.8	4.87905	5.27413	5.27413	5.790821	2.40641	0.45627	21	2.87587	0.7626	3.4725	0.0	False	False	effect_ge_tau	6	3.32819	3.04035	3.957861	1.98944	0.59775	123	0.6642	0.7947	1.3944	1.807	6.2818	0.0	False	False	effect_ge_tau	8	1.85438	1.43906	2.406638	1.55133	0.83658	52	1.508	1.8738
cluster3	chr2	8	910	962	52	102.8	108.1	1.3944	1.85438	1.43906	2.406638	1.55133	0.83658	52	4.87905	-1.807	-6.2818	0.0	False	False	effect_ge_tau	7	5.27413	5.27413	5.790821	2.40641	0.45627	21	-1.508	-1.8738	2.24517	-0.6872	-3.8271	0.0	False	False	effect_ge_tau	9	2.94269	2.76753	4.947631	2.22433	0.75588	253	-0.6662	-0.9435
cluster4	chr2	1	83	125	42	8.8	13.1	4.54452	4.9029	4.69184	2.73566	1.65398	0.33735	42	1.98474	1.1952	7.1485	0.0	False	False	terminal_unchanged	0	2.22625	1.97402	1.988399	1.41011	0.6334	83	1.139	1.249	3.31202	0.4564	3.4125	0.0	False	False	effect_ge_tau	2	3.71475	3.54458	4.317587	2.07788	0.55936	780	0.4004	0.4045
cluster0	chr5	1	50	74	24	5.7	8.4	0.58646	1.16887	0.66943	2.178929	1.47612	1.26287	24	1.47994	-1.3354	-2.304	0.0	False	False	terminal_unchanged	0	2.10195	1.8633	3.044662	1.7449	0.83013	50	-0.8466	-1.4769	2.65297	-2.1775	-4.3415	0.0	False	False	effect_ge_tau	2	3.13816	2.94379	2.957601	1.71977	0.54802	60	-1.4248	-2.1367
cluster0	chr5	2	74	134	60	8.4	14.4	2.65297	3.13816	2.94379	2.957601	1.71977	0.54802	60	0.58646	2.1775	4.3415	0.0	False	False	effect_ge_tau	1	1.16887	0.66943	2.178929	1.47612	1.26287	24	1.4248	2.1367	0.62414	2.0877	2.7801	0.0	False	False	effect_ge_tau	3	1.70389	1.70389	2.869205	1.69387	0.99412	20	0.8811	0.7888
cluster0	chr5	3	134	154	20	14.4	16.4	0.62414	1.70389	1.70389	2.869205	1.69387	0.99412	20	2.65297	-2.0877	-2.7801	0.0	False	False	effect_ge_tau	2	3.13816	2.94379	2.957601	1.71977	0.54802	60	-0.8811	-0.7888	3.34998	-2.4242	-4.4583	0.0	False	False	effect_ge_tau	4	3.93978	3.63376	5.896395	2.42825	0.61634	855	-1.2093	-1.0926
cluster0	chr5	5	1009	1037	28	110.7	113.6	5.14362	5.28385	5.28385	4.06688	2.01665	0.38166	28	3.34998	0.6186	2.6467	0.0	False	False	effect_ge_tau	4	3.93978	3.63376	5.896395	2.42825	0.61634	855	0.4235	0.5401	2.25889	1.1872	4.2487	0.0	False	False	effect_ge_tau	6	2.81235	2.27781	3.943903	1.98593	0.70615	52	0.9098	1.2139
cluster0	chr5	6	1037	1089	52	113.6	118.9	2.25889	2.81235	2.27781	3.943903	1.98593	0.70615	52	5.14362	-1.1872	-4.2487	0.0	False	False	effect_ge_tau	5	5.28385	5.28385	4.06688	2.01665	0.38166	28	-0.9098	-1.2139	5.91789	-1.3895	-8.8874	0.0	False	False	effect_ge_tau	7	6.55732	6.47756	11.584597	3.40362	0.51906	324	-1.2213	-1.5078
cluster1	chr5	1	50	74	24	5.7	8.4	0.46572	1.09743	0.51572	2.368949	1.53914	1.40249	24	1.30598	-1.4876	-2.43	0.0	False	False	terminal_unchanged	0	2.07965	1.818	3.551374	1.88451	0.90616	50	-0.9222	-1.8177	2.56649	-2.4623	-4.4556	0.0	False	False	effect_ge_tau	2	3.12199	2.92173	3.068771	1.75179	0.56111	60	-1.5083	-2.5022
cluster1	chr5	2	74	134	60	8.4	14.4	2.56649	3.12199	2.92173	3.068771	1.75179	0.56111	60	0.46572	2.4623	4.4556	0.0	False	False	effect_ge_tau	1	1.09743	0.51572	2.368949	1.53914	1.40249	24	1.5083	2.5022	0.54629	2.232	2.8737	0.0	False	False	effect_ge_tau	3	1.63365	1.63365	2.949269	1.71734	1.05123	20	0.9344	0.8387
cluster1	chr5	3	134	154	20	14.4	16.4	0.54629	1.63365	1.63365	2.949269	1.71734	1.05123	20	2.56649	-2.232	-2.8737	0.0	False	False	effect_ge_tau	2	3.12199	2.92173	3.068771	1.75179	0.56111	60	-0.9344	-0.8387	3.41828	-2.6455	-4.6401	0.0	False	False	effect_ge_tau	4	3.98799	3.66193	6.239821	2.49796	0.62637	883	-1.2876	-1.1645
cluster1	chr5	5	1037	1089	52	113.6	118.9	2.19073	2.82118	2.2806	4.059613	2.01485	0.71419	52	3.41828	-0.6419	-3.3893	0.0	False	False	effect_ge_tau	4	3.98799	3.66193	6.239821	2.49796	0.62637	883	-0.4994	-0.6832	5.8151	-1.4084	-8.755	0.0	False	False	effect_ge_tau	6	6.55789	6.40456	12.503078	3.53597	0.53919	325	-1.2169	-1.4897
cluster1	chr5	7	1414	1444	30	151.9	155.0	3.68607	4.21028	4.00622	4.793127	2.18932	0.51999	30	5.8151	-0.6577	-4.0437	0.0	False	False	effect_ge_tau	6	6.55789	6.40456	12.503078	3.53597	0.53919	325	-0.6393	-0.6769	1.57609	1.2257	3.2172	0.0	False	False	effect_ge_tau	8	2.09741	2.09741	1.785327	1.33616	0.63705	20	1.0053	0.9336
cluster1	chr5	8	1444	1464	20	155.0	157.1	1.57609	2.09741	2.09741	1.785327	1.33616	0.63705	20	3.68607	-1.2257	-3.2172	0.0	False	False	effect_ge_tau	7	4.21028	4.00622	4.793127	2.18932	0.51999	30	-1.0053	-0.9336	4.68831	-1.5727	-5.1477	0.0	False	False	effect_ge_tau	9	5.69016	4.70966	12.781384	3.57511	0.6283	39	-1.4399	-1.167
cluster1	chr5	9	1464	1503	39	157.1	161.0	4.68831	5.69016	4.70966	12.781384	3.57511	0.6283	39	1.57609	1.5727	5.1477	0.0	False	False	effect_ge_tau	8	2.09741	2.09741	1.785327	1.33616	0.63705	20	1.4399	1.167	1.0114	2.2127	7.2478	0.0	False	False	effect_ge_tau	10	1.16647	1.00014	0.250367	0.50037	0.42896	22	2.2863	2.2354
cluster1	chr5	10	1503	1525	22	161.0	163.3	1.0114	1.16647	1.00014	0.250367	0.50037	0.42896	22	4.68831	-2.2127	-7.2478	0.0	False	False	effect_ge_tau	9	5.69016	4.70966	12.781384	3.57511	0.6283	39	-2.2863	-2.2354	4.53903	-2.166	-7.5925	0.0	False	False	effect_ge_tau	11	5.39233	4.83268	8.44576	2.90616	0.53894	107	-2.2088	-2.2726
cluster2	chr5	1	50	74	24	5.7	8.4	0.86835	1.34884	0.87009	2.012953	1.41879	1.05185	24	1.84859	-1.0901	-2.9531	0.0	False	False	terminal_unchanged	0	2.35957	2.23384	2.470392	1.57175	0.66612	50	-0.8068	-1.3603	2.93298	-1.756	-5.3358	0.0	False	False	effect_ge_tau	2	3.3581	3.15177	1.921335	1.38612	0.41277	60	-1.3159	-1.8569
cluster2	chr5	2	74	134	60	8.4	14.4	2.93298	3.3581	3.15177	1.921335	1.38612	0.41277	60	0.86835	1.756	5.3358	0.0	False	False	effect_ge_tau	1	1.34884	0.87009	2.012953	1.41879	1.05185	24	1.3159	1.8569	0.88414	1.73	3.3556	0.0	False	False	effect_ge_tau	3	1.92394	1.92394	2.939537	1.71451	0.89115	20	0.8036	0.7121
cluster2	chr5	3	134	154	20	14.4	16.4	0.88414	1.92394	1.92394	2.939537	1.71451	0.89115	20	2.93298	-1.73	-3.3556	0.0	False	False	effect_ge_tau	2	3.3581	3.15177	1.921335	1.38612	0.41277	60	-0.8036	-0.7121	3.50316	-1.9863	-4.9476	0.0	False	False	effect_ge_tau	4	3.92062	3.71115	3.803116	1.95016	0.49741	855	-1.027	-0.9478
cluster2	chr5	5	1009	1037	28	110.7	113.6	5.38845	5.17425	5.17425	2.625312	1.62028	0.31314	28	3.50316	0.6212	3.1271	0.0	False	False	effect_ge_tau	4	3.92062	3.71115	3.803116	1.95016	0.49741	855	0.4003	0.4795	2.6831	1.006	4.465	0.0	False	False	effect_ge_tau	6	3.08787	2.74605	2.720862	1.6495	0.53419	53	0.7447	0.914
cluster2	chr5	6	1037	1090	53	113.6	119.0	2.6831	3.08787	2.74605	2.720862	1.6495	0.53419	53	5.38845	-1.006	-4.465	0.0	False	False	effect_ge_tau	5	5.17425	5.17425	2.625312	1.62028	0.31314	28	-0.7447	-0.914	6.03619	-1.1697	-10.0439	0.0	False	False	effect_ge_tau	7	6.44085	6.35796	7.314924	2.70461	0.41992	324	-1.0606	-1.2112
cluster2	chr5	8	1414	1444	30	151.9	155.0	4.32431	4.60955	4.60955	2.43471	1.56036	0.33851	30	6.03619	-0.4812	-3.9915	0.0	False	False	effect_ge_tau	7	6.44085	6.35796	7.314924	2.70461	0.41992	324	-0.4826	-0.4639	2.0299	1.0911	3.6352	0.0	False	False	effect_ge_tau	9	2.60561	2.60561	2.05906	1.43494	0.55071	20	0.823	0.823
cluster2	chr5	9	1444	1464	20	155.0	157.1	2.0299	2.60561	2.60561	2.05906	1.43494	0.55071	20	4.32431	-1.0911	-3.6352	0.0	False	False	effect_ge_tau	8	4.60955	4.60955	2.43471	1.56036	0.33851	30	-0.823	-0.823	5.51821	-1.4428	-5.7663	0.0	False	False	effect_ge_tau	10	5.91125	5.21248	7.191487	2.68169	0.45366	39	-1.1818	-1.0004
cluster2	chr5	10	1464	1503	39	157.1	161.0	5.51821	5.91125	5.21248	7.191487	2.68169	0.45366	39	2.0299	1.4428	5.7663	0.0	False	False	effect_ge_tau	9	2.60561	2.60561	2.05906	1.43494	0.55071	20	1.1818	1.0004	1.21988	2.1775	8.6352	0.0	False	False	effect_ge_tau	11	1.49479	1.4177	0.347426	0.58943	0.39432	22	1.9835	1.8784
cluster2	chr5	11	1503	1525	22	161.0	163.3	1.21988	1.49479	1.4177	0.347426	0.58943	0.39432	22	5.51821	-2.1775	-8.6352	0.0	False	False	effect_ge_tau	10	5.91125	5.21248	7.191487	2.68169	0.45366	39	-1.9835	-1.8784	5.08076	-2.0583	-9.0425	0.0	False	False	effect_ge_tau	12	5.60907	5.15155	5.509732	2.34728	0.41848	107	-1.9078	-1.8615
cluster3	chr5	1	50	74	24	5.7	8.4	0.61553	1.09987	0.66971	1.737627	1.31819	1.19849	24	1.28794	-1.0652	-1.8539	0.0	False	False	terminal_unchanged	0	1.81257	1.4541	2.556751	1.59898	0.88216	50	-0.7207	-1.1185	2.28771	-1.894	-3.6968	0.0	False	False	effect_ge_tau	2	2.62301	2.36239	3.144091	1.77316	0.676	80	-1.2539	-1.8186
cluster3	chr5	2	74	154	80	8.4	16.4	2.28771	2.62301	2.36239	3.144091	1.77316	0.676	80	0.61553	1.894	3.6968	0.0	False	False	effect_ge_tau	1	1.09987	0.66971	1.737627	1.31819	1.19849	24	1.2539	1.8186	3.1205	-0.4479	-2.4194	0.0	False	False	effect_ge_tau	3	3.33492	3.17736	2.408059	1.55179	0.46532	191	-0.3464	-0.4276
