source	chromosome	orig_seg_id	bin_start	bin_end	seg_length	median_obs	standalone_in_simplified	merged_left	merged_right	reason_left	reason_right
cluster2	chr5	6	1037	1090	53	2.6831	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr5	8	1414	1444	30	4.32431	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr5	9	1444	1464	20	2.0299	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr5	10	1464	1503	39	5.51821	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr5	11	1503	1525	22	1.21988	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	1	50	74	24	0.61553	True	False	False	terminal_unchanged	effect_ge_tau
cluster3	chr5	2	74	154	80	2.28771	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	4	345	404	59	3.94292	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	5	404	451	47	2.37438	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	7	1038	1090	52	1.94587	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	9	1382	1414	32	8.09723	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	10	1414	1482	68	2.90706	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	11	1482	1503	21	5.25097	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	12	1503	1525	22	1.20347	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	13	1525	1610	85	3.84077	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr5	14	1610	1632	22	6.70717	True	False	False	effect_ge_tau	terminal_unchanged
cluster4	chr5	2	1037	1090	53	1.98976	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr5	4	1414	1503	89	3.97624	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr5	5	1503	1525	22	1.19639	True	False	False	effect_ge_tau	terminal_unchanged
cluster0	chr7	1	79	104	25	1.21341	True	False	False	terminal_unchanged	effect_ge_tau
cluster0	chr7	4	509	529	20	0.70429	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr7	5	529	598	69	2.91604	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr7	6	598	625	27	0.38113	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr7	7	625	658	33	0.63496	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr7	8	658	714	56	2.86155	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr7	9	714	774	60	4.73378	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr7	10	774	823	49	2.02374	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr7	12	1369	1392	23	1.04685	True	False	False	effect_ge_tau	terminal_unchanged
cluster1	chr7	1	79	104	25	1.06534	True	False	False	terminal_unchanged	effect_ge_tau
cluster1	chr7	4	509	529	20	0.73587	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr7	5	529	598	69	2.83327	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr7	6	598	624	26	0.31661	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr7	7	624	658	34	0.53189	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr7	8	658	714	56	2.8138	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr7	9	714	774	60	4.59741	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr7	10	774	802	28	2.53669	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr7	11	802	823	21	1.50195	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr7	1	79	103	24	1.35569	True	False	False	terminal_unchanged	effect_ge_tau
cluster2	chr7	4	509	529	20	0.88982	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr7	5	529	598	69	2.84622	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr7	6	598	625	27	0.54017	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr7	7	625	657	32	0.66181	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr7	8	657	712	55	2.84362	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr7	9	712	774	62	4.64558	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr7	10	774	823	49	2.44749	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	1	79	104	25	1.28082	True	False	False	terminal_unchanged	effect_ge_tau
cluster3	chr7	3	302	391	89	2.28418	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	5	509	529	20	0.68872	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	6	529	598	69	2.56817	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	7	598	624	26	0.36902	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	8	624	658	34	0.56805	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	9	658	712	54	3.06252	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	10	712	774	62	4.94678	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	11	774	802	28	2.88044	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	12	802	823	21	1.71208	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr7	14	1209	1232	23	4.93233	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr7	1	79	104	25	0.91911	True	False	False	terminal_unchanged	effect_ge_tau
cluster4	chr7	4	509	529	20	0.66282	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr7	5	529	598	69	2.61197	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr7	6	598	624	26	0.31354	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr7	7	624	658	34	0.97613	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr7	8	658	712	54	2.66361	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr7	9	712	774	62	4.51077	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr7	10	774	823	49	1.96662	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr7	13	1366	1392	26	0.90412	True	False	False	effect_ge_tau	terminal_unchanged
cluster0	chr8	2	875	934	59	4.11951	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr8	5	1239	1285	46	0.88875	True	False	False	effect_ge_tau	terminal_unchanged
cluster1	chr8	2	875	934	59	4.05227	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr8	5	1239	1285	46	0.75661	True	False	False	effect_ge_tau	terminal_unchanged
cluster2	chr8	3	995	1048	53	3.08827	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr8	5	1239	1259	20	2.83112	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr8	6	1259	1285	26	0.95704	True	False	False	effect_ge_tau	terminal_unchanged
cluster3	chr8	2	876	916	40	5.19465	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr8	5	1239	1285	46	0.89098	True	False	False	effect_ge_tau	terminal_unchanged
cluster4	chr8	2	396	416	20	1.27612	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr8	4	565	589	24	1.88599	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr8	5	589	675	86	5.53494	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr8	6	675	700	25	3.2156	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr8	8	1239	1259	20	2.59293	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr8	9	1259	1285	26	0.86267	True	False	False	effect_ge_tau	terminal_unchanged
cluster0	chr9	1	192	218	26	1.16935	True	False	False	terminal_unchanged	effect_ge_tau
cluster0	chr9	3	660	689	29	1.29007	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr9	4	689	721	32	2.21015	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr9	5	721	816	95	4.42957	True	False	False	effect_ge_tau	effect_ge_tau
cluster0	chr9	6	816	856	40	1.91459	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr9	1	72	94	22	0.6766	True	False	False	terminal_unchanged	effect_ge_tau
cluster1	chr9	2	94	194	100	3.03064	True	False	False	effect_ge_tau	effect_ge_tau
cluster1	chr9	3	194	218	24	1.2574	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr9	1	71	94	23	0.88982	True	False	False	terminal_unchanged	effect_ge_tau
cluster2	chr9	2	94	178	84	3.14793	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr9	3	178	218	40	1.73401	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr9	1	194	218	24	1.26517	True	False	False	terminal_unchanged	effect_ge_tau
cluster3	chr9	2	218	276	58	2.90957	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr9	3	276	331	55	4.67644	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr9	4	331	355	24	1.87799	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr9	6	660	690	30	1.3587	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr9	7	690	721	31	1.97801	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr9	8	721	816	95	4.45199	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr9	9	816	856	40	1.83102	True	False	False	effect_ge_tau	effect_ge_tau
cluster4	chr9	1	164	219	55	1.69829	True	False	False	terminal_unchanged	effect_ge_tau
cluster2	chr13	1	51	100	49	3.12708	True	False	False	terminal_unchanged	effect_ge_tau
cluster2	chr13	3	333	353	20	1.28008	True	False	False	effect_ge_tau	effect_ge_tau
cluster2	chr13	4	353	396	43	2.34881	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr13	3	325	350	25	1.18341	True	False	False	effect_ge_tau	effect_ge_tau
cluster3	chr13	4	350	395	45	2.43107	True	False	False	effect_ge_tau	effect_ge_tau
